dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,0,182.519,0.00305,0.074408,68.0426,250.75,250.639
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,1,0.009376,0.00158,0.04339,0.017504,0.141469,0.07185
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,2,0.013024,0.00142,0.04189,0.011488,0.132028,0.067822
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,3,0.008192,0.00151,0.04179,0.012864,0.128979,0.064356
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,4,0.014848,0.00143,0.042521,0.013568,0.134188,0.072367
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,5,0.01472,0.00146,0.042019,0.01232,0.134539,0.070519
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,6,0.013568,0.001429,0.04268,0.012032,0.133589,0.069709
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,7,0.014368,0.001521,0.048869,0.012128,0.140718,0.076886
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,8,0.013984,0.00141,0.04201,0.012064,0.132939,0.069468
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,9,0.014496,0.00145,0.04202,0.012672,0.134969,0.070638
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,10,0.00928,0.00147,0.042339,0.01184,0.127388,0.064929
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,11,0.015104,0.00142,0.042051,0.014112,0.136589,0.072687
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,12,0.015488,0.00149,0.04508,0.013664,0.138088,0.075722
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,13,0.012736,0.001489,0.04268,0.013728,0.134609,0.070633
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,14,0.014272,0.001581,0.04316,0.013472,0.134908,0.072485
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,15,0.015552,0.00154,0.041999,0.012832,0.135319,0.071923
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,16,0.016384,0.0016,0.04236,0.01312,0.141698,0.073464
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,17,0.016352,0.00144,0.041829,0.012032,0.133279,0.071653
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,18,0.00864,0.00145,0.04245,0.01088,0.125718,0.06342
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,19,0.014304,0.00149,0.041331,0.013504,0.135179,0.070629
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,20,0.015424,0.00141,0.141659,0.01408,0.236338,0.172573
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,21,0.015328,0.001449,0.041589,0.013408,0.135058,0.071774
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,22,0.0152,0.001449,0.04237,0.012608,0.133758,0.071627
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,23,0.014688,0.001439,0.042549,0.012864,0.133758,0.07154
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,24,0.008608,0.00148,0.04212,0.01136,0.121088,0.063568
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,25,0.015104,0.00143,0.043369,0.012288,0.136379,0.072191
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,26,0.015008,0.00137,0.042179,0.013888,0.135628,0.072445
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,27,0.014336,0.001471,0.042109,0.01168,0.134108,0.069596
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,28,0.01424,0.001481,0.0397,0.014848,0.125938,0.070269
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,29,0.016416,0.001409,0.045539,0.01376,0.141098,0.077124
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,30,0.01504,0.001451,0.04211,0.01344,0.135508,0.072041
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,31,0.015296,0.00142,0.041799,0.0136,0.136108,0.072115
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,32,0.010784,0.00147,0.04351,0.013248,0.128909,0.069012
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,33,0.015776,0.00153,0.035479,0.01728,0.124339,0.070065
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,34,0.014144,0.00144,0.041939,0.012864,0.132909,0.070387
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,35,0.016896,0.001461,0.04177,0.012928,0.135858,0.073055
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,36,0.015744,0.00143,0.04293,0.011488,0.242667,0.071592
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,37,0.014784,0.001429,0.04184,0.013824,0.134318,0.071877
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,38,0.014304,0.00141,0.04257,0.012896,0.134849,0.07118
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,39,0.019264,0.00146,0.043009,0.012192,0.139538,0.075925
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,40,0.014432,0.00157,0.0427,0.013888,0.134898,0.07259
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,41,0.016224,0.001408,0.042359,0.012416,0.135358,0.072407
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,42,0.014944,0.00151,0.04248,0.013504,0.134618,0.072438
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,43,0.014528,0.00138,0.04226,0.011968,0.132019,0.070136
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,44,0.015936,0.00143,0.041879,0.012256,0.133709,0.071501
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,45,0.014432,0.008719,0.041791,0.012864,0.140968,0.077806
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,46,0.017024,0.00148,0.04247,0.014048,0.138398,0.075022
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,47,0.016032,0.001379,0.041759,0.012448,0.132308,0.071618
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,48,0.015616,0.00149,0.042209,0.012512,0.135089,0.071827
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,49,0.016352,0.001471,0.04192,0.012736,0.133678,0.072479
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,50,0.015232,0.001451,0.04236,0.01184,0.136358,0.070883
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,51,0.014144,0.00155,0.03595,0.014048,0.287337,0.065692
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,52,0.008832,0.001431,0.04274,0.010592,0.126059,0.063595
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,53,0.01056,0.00166,0.04265,0.01296,0.129899,0.06783
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,54,0.013376,0.00146,0.041958,0.010464,0.131549,0.067258
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,55,0.01616,0.0015,0.042069,0.012608,0.135758,0.072337
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,56,0.013824,0.00146,0.099428,0.014624,0.191478,0.129336
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,57,0.01504,0.001492,0.04213,0.011488,0.132459,0.07015
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,58,0.014016,0.001429,0.042189,0.01232,0.132368,0.069954
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,59,0.012928,0.00157,0.04281,0.01232,0.133019,0.069628
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,60,0.015744,0.00145,0.04149,0.012384,0.133408,0.071068
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,61,0.015168,0.00137,0.04215,0.011904,0.135749,0.070592
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,62,0.016128,0.001449,0.04793,0.013856,0.141958,0.079363
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,63,0.014304,0.00149,0.042169,0.01248,0.132679,0.070443
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,64,0.01632,0.00155,0.042081,0.01296,0.134419,0.072911
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,65,0.016288,0.00146,0.04194,0.013536,0.132849,0.073224
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,66,0.015392,0.001609,0.043359,0.012544,0.134918,0.072904
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,67,0.015552,0.00146,0.042661,0.015776,0.141029,0.075449
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,68,0.014816,0.00158,0.042509,0.012928,0.133689,0.071833
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,69,0.013728,0.00142,0.04167,0.012128,0.132419,0.068946
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,70,0.015808,0.00142,0.04189,0.011232,0.133059,0.07035
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,71,0.014016,0.00135,0.04173,0.01408,0.134148,0.071176
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,72,0.013536,0.00145,0.04708,0.013184,0.137239,0.07525
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,73,0.014816,0.00149,0.04216,0.011904,0.134639,0.07037
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,74,0.01616,0.00142,0.04185,0.012224,0.133579,0.071654
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,0,0.034432,0.00221,0.08437,0.038016,0.227867,0.159028
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,1,0.027136,0.001651,0.076599,0.030336,0.196418,0.135722
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,2,0.018624,0.001611,0.076328,0.028288,0.185468,0.124851
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,3,0.019232,0.001489,0.076339,0.028672,0.186948,0.125732
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,4,0.01984,0.0015,0.074819,0.031936,0.182148,0.128095
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,5,0.019168,0.001469,0.07584,0.029856,0.187218,0.126333
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,6,0.016832,0.00165,0.076778,0.030048,0.186118,0.125308
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,7,0.018944,0.0015,0.140247,0.031264,0.253187,0.191955
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,8,0.018272,0.00146,0.0764,0.030112,0.186937,0.126244
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,9,0.018688,0.001449,0.075929,0.028,0.186268,0.124066
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,10,0.019424,0.001499,0.076119,0.029536,0.187448,0.126578
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,11,0.017472,0.001431,0.076489,0.028672,0.185918,0.124064
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,12,0.025952,0.001431,0.076189,0.029632,0.193828,0.133204
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,13,0.017888,0.00145,0.076289,0.030112,0.185288,0.125739
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,14,0.019104,0.00197,0.07715,0.029952,0.189318,0.128176
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,15,0.019104,0.00145,0.077229,0.030848,0.189728,0.128631
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,16,0.026112,0.00142,0.076369,0.029856,0.194247,0.133757
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,17,0.019648,0.00146,0.076329,0.02864,0.187338,0.126077
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,18,0.018528,0.0014,0.07595,0.0288,0.189358,0.124678
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,19,0.01744,0.00146,0.075999,0.028288,0.183129,0.123187
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,20,0.026976,0.00168,0.083389,0.027872,0.201058,0.139917
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,21,0.017408,0.00143,0.0757,0.030432,0.185187,0.12497
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,22,0.017632,0.001509,0.076618,0.02672,0.184448,0.122479
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,23,0.019616,0.001489,0.076601,0.093024,0.251337,0.19073
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,24,0.018944,0.0017,0.076658,0.029536,0.186778,0.126838
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,25,0.01968,0.00149,0.076559,0.0336,0.192468,0.131329
