dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",64,0,183.131,0.002521,0.077649,68.0642,251.384,251.275
3,float,uniform,GPU,"P | P | P | P | D | N",64,1,0.010496,0.00174,0.046459,0.016,0.137418,0.074695
3,float,uniform,GPU,"P | P | P | P | D | N",64,2,0.015936,0.00157,0.04272,0.01392,0.137189,0.074146
3,float,uniform,GPU,"P | P | P | P | D | N",64,3,0.013792,0.001532,0.042259,0.014048,0.135418,0.071631
3,float,uniform,GPU,"P | P | P | P | D | N",64,4,0.0152,0.00158,0.043059,0.012256,0.135539,0.072095
3,float,uniform,GPU,"P | P | P | P | D | N",64,5,0.01456,0.0016,0.04206,0.013184,0.134669,0.071404
3,float,uniform,GPU,"P | P | P | P | D | N",64,6,0.013344,0.001702,0.043399,0.013568,0.134848,0.072013
3,float,uniform,GPU,"P | P | P | P | D | N",64,7,0.013088,0.001681,0.04252,0.012,0.134709,0.069289
3,float,uniform,GPU,"P | P | P | P | D | N",64,8,0.016288,0.00157,0.042409,0.014304,0.137588,0.074571
3,float,uniform,GPU,"P | P | P | P | D | N",64,9,0.01408,0.00154,0.04235,0.012128,0.137569,0.070098
3,float,uniform,GPU,"P | P | P | P | D | N",64,10,0.015648,0.00157,0.041779,0.013024,0.133758,0.072021
3,float,uniform,GPU,"P | P | P | P | D | N",64,11,0.016576,0.00152,0.035789,0.015392,0.123119,0.069277
3,float,uniform,GPU,"P | P | P | P | D | N",64,12,0.012416,0.00152,0.04169,0.01232,0.132039,0.067946
3,float,uniform,GPU,"P | P | P | P | D | N",64,13,0.016352,0.00153,0.042241,0.00976,0.133559,0.069883
3,float,uniform,GPU,"P | P | P | P | D | N",64,14,0.015552,0.00157,0.04203,0.012416,0.133538,0.071568
3,float,uniform,GPU,"P | P | P | P | D | N",64,15,0.014368,0.00159,0.042629,0.012928,0.239397,0.071515
3,float,uniform,GPU,"P | P | P | P | D | N",64,16,0.015744,0.001448,0.042529,0.012512,0.135669,0.072233
3,float,uniform,GPU,"P | P | P | P | D | N",64,17,0.013088,0.00158,0.042039,0.01008,0.130989,0.066787
3,float,uniform,GPU,"P | P | P | P | D | N",64,18,0.015424,0.001648,0.042579,0.01088,0.134028,0.070531
3,float,uniform,GPU,"P | P | P | P | D | N",64,19,0.013728,0.0015,0.04197,0.013312,0.133488,0.07051
3,float,uniform,GPU,"P | P | P | P | D | N",64,20,0.013792,0.00154,0.042449,0.01328,0.134079,0.071061
3,float,uniform,GPU,"P | P | P | P | D | N",64,21,0.008576,0.00162,0.048809,0.010176,0.134248,0.069181
3,float,uniform,GPU,"P | P | P | P | D | N",64,22,0.014112,0.001551,0.04211,0.013504,0.135748,0.071277
3,float,uniform,GPU,"P | P | P | P | D | N",64,23,0.015328,0.00156,0.0429,0.010976,0.134469,0.070764
3,float,uniform,GPU,"P | P | P | P | D | N",64,24,0.014976,0.0017,0.04327,0.011552,0.134378,0.071498
3,float,uniform,GPU,"P | P | P | P | D | N",64,25,0.008384,0.00151,0.141919,0.012096,0.227548,0.163909
3,float,uniform,GPU,"P | P | P | P | D | N",64,26,0.014784,0.001549,0.04223,0.01296,0.134988,0.071523
3,float,uniform,GPU,"P | P | P | P | D | N",64,27,0.01248,0.001559,0.042661,0.012192,0.133378,0.068892
3,float,uniform,GPU,"P | P | P | P | D | N",64,28,0.014848,0.0015,0.04215,0.0128,0.134159,0.071298
3,float,uniform,GPU,"P | P | P | P | D | N",64,29,0.014656,0.00159,0.03926,0.014144,0.126508,0.06965
3,float,uniform,GPU,"P | P | P | P | D | N",64,30,0.015456,0.00161,0.042979,0.012448,0.133599,0.072493
3,float,uniform,GPU,"P | P | P | P | D | N",64,31,0.013792,0.00164,0.04303,0.013504,0.136148,0.071966
3,float,uniform,GPU,"P | P | P | P | D | N",64,32,0.014112,0.00166,0.04269,0.01296,0.141158,0.071422
3,float,uniform,GPU,"P | P | P | P | D | N",64,33,0.015136,0.001709,0.043469,0.01328,0.137598,0.073594
3,float,uniform,GPU,"P | P | P | P | D | N",64,34,0.014464,0.00155,0.042709,0.0128,0.134198,0.071523
3,float,uniform,GPU,"P | P | P | P | D | N",64,35,0.014016,0.00161,0.04253,0.01456,0.135448,0.072716
3,float,uniform,GPU,"P | P | P | P | D | N",64,36,0.015744,0.00151,0.03916,0.012608,0.128328,0.069022
3,float,uniform,GPU,"P | P | P | P | D | N",64,37,0.015296,0.00151,0.151909,0.012864,0.246088,0.181579
3,float,uniform,GPU,"P | P | P | P | D | N",64,38,0.013312,0.00162,0.04236,0.011008,0.132728,0.0683
3,float,uniform,GPU,"P | P | P | P | D | N",64,39,0.018688,0.001611,0.04273,0.013792,0.140448,0.076821
3,float,uniform,GPU,"P | P | P | P | D | N",64,40,0.014752,0.00161,0.041569,0.011776,0.131828,0.069707
3,float,uniform,GPU,"P | P | P | P | D | N",64,41,0.01456,0.00154,0.042449,0.01392,0.221978,0.072469
3,float,uniform,GPU,"P | P | P | P | D | N",64,42,0.016064,0.00154,0.042209,0.011008,0.134358,0.070821
3,float,uniform,GPU,"P | P | P | P | D | N",64,43,0.015808,0.00151,0.04278,0.01152,0.133518,0.071618
3,float,uniform,GPU,"P | P | P | P | D | N",64,44,0.01344,0.00149,0.0424,0.013472,0.134348,0.070802
3,float,uniform,GPU,"P | P | P | P | D | N",64,45,0.014176,0.00151,0.042509,0.013504,0.136019,0.071699
3,float,uniform,GPU,"P | P | P | P | D | N",64,46,0.014368,0.001549,0.04217,0.01296,0.132568,0.071047
3,float,uniform,GPU,"P | P | P | P | D | N",64,47,0.015776,0.00147,0.042379,0.012544,0.135319,0.072169
3,float,uniform,GPU,"P | P | P | P | D | N",64,48,0.013792,0.00149,0.04218,0.012,0.134039,0.069462
3,float,uniform,GPU,"P | P | P | P | D | N",64,49,0.015776,0.00158,0.043431,0.01296,0.135379,0.073747
3,float,uniform,GPU,"P | P | P | P | D | N",64,50,0.013856,0.001691,0.04367,0.0128,0.134709,0.072017
3,float,uniform,GPU,"P | P | P | P | D | N",64,51,0.016256,0.00157,0.043019,0.014176,0.137349,0.075021
3,float,uniform,GPU,"P | P | P | P | D | N",64,52,0.015904,0.00155,0.05234,0.011232,0.145249,0.081026
3,float,uniform,GPU,"P | P | P | P | D | N",64,53,0.016128,0.00155,0.042609,0.011168,0.134139,0.071455
3,float,uniform,GPU,"P | P | P | P | D | N",64,54,0.008192,0.00148,0.04235,0.011392,0.125459,0.063414
3,float,uniform,GPU,"P | P | P | P | D | N",64,55,0.008992,0.00153,0.04215,0.013792,0.126899,0.066464
3,float,uniform,GPU,"P | P | P | P | D | N",64,56,0.015776,0.001471,0.042028,0.01408,0.135818,0.073355
3,float,uniform,GPU,"P | P | P | P | D | N",64,57,0.013568,0.00148,0.146638,0.012032,0.237807,0.173718
3,float,uniform,GPU,"P | P | P | P | D | N",64,58,0.015648,0.001611,0.042039,0.011904,0.133308,0.071202
3,float,uniform,GPU,"P | P | P | P | D | N",64,59,0.014176,0.00161,0.04355,0.013216,0.135918,0.072552
3,float,uniform,GPU,"P | P | P | P | D | N",64,60,0.017088,0.00157,0.0358,0.015648,0.122249,0.070106
3,float,uniform,GPU,"P | P | P | P | D | N",64,61,0.015232,0.001479,0.035439,0.015168,0.120589,0.067318
3,float,uniform,GPU,"P | P | P | P | D | N",64,62,0.015776,0.00154,0.042149,0.012256,0.132968,0.071721
3,float,uniform,GPU,"P | P | P | P | D | N",64,63,0.016064,0.00157,0.041949,0.011008,0.133509,0.070591
3,float,uniform,GPU,"P | P | P | P | D | N",64,64,0.01488,0.00149,0.042068,0.013696,0.135159,0.072134
3,float,uniform,GPU,"P | P | P | P | D | N",64,65,0.017024,0.00153,0.042469,0.012256,0.136489,0.073279
3,float,uniform,GPU,"P | P | P | P | D | N",64,66,0.014432,0.00157,0.04214,0.012608,0.133619,0.07075
3,float,uniform,GPU,"P | P | P | P | D | N",64,67,0.014592,0.00157,0.045249,0.012736,0.137649,0.074147
3,float,uniform,GPU,"P | P | P | P | D | N",64,68,0.016288,0.001509,0.042639,0.012384,0.135429,0.07282
3,float,uniform,GPU,"P | P | P | P | D | N",64,69,0.015616,0.00148,0.04212,0.012032,0.133539,0.071248
3,float,uniform,GPU,"P | P | P | P | D | N",64,70,0.015072,0.00164,0.04267,0.013344,0.136459,0.072726
3,float,uniform,GPU,"P | P | P | P | D | N",64,71,0.014272,0.00157,0.0424,0.01248,0.135319,0.070722
3,float,uniform,GPU,"P | P | P | P | D | N",64,72,0.015488,0.00153,0.041869,0.010976,0.131908,0.069863
3,float,uniform,GPU,"P | P | P | P | D | N",64,73,0.016064,0.00156,0.042879,0.011168,0.135679,0.071671
3,float,uniform,GPU,"P | P | P | P | D | N",64,74,0.008608,0.001581,0.041921,0.010304,0.124588,0.062414
3,float,uniform,GPU,"P | P | P | P | D | N",128,0,0.030208,0.001881,0.085148,0.039008,0.218367,0.156245
3,float,uniform,GPU,"P | P | P | P | D | N",128,1,0.019136,0.00175,0.078049,0.03024,0.189828,0.129175
3,float,uniform,GPU,"P | P | P | P | D | N",128,2,0.021824,0.001641,0.078479,0.028416,0.198327,0.13036
3,float,uniform,GPU,"P | P | P | P | D | N",128,3,0.016832,0.00162,0.07869,0.029728,0.190538,0.12687
3,float,uniform,GPU,"P | P | P | P | D | N",128,4,0.016736,0.00164,0.078819,0.0288,0.187048,0.125995
3,float,uniform,GPU,"P | P | P | P | D | N",128,5,0.019648,0.00158,0.078169,0.029472,0.189928,0.128869
3,float,uniform,GPU,"P | P | P | P | D | N",128,6,0.023104,0.001841,0.07939,0.030688,0.195648,0.135023
3,float,uniform,GPU,"P | P | P | P | D | N",128,7,0.0248,0.00156,0.0795,0.029952,0.197798,0.135812
3,float,uniform,GPU,"P | P | P | P | D | N",128,8,0.020704,0.00158,0.07871,0.02992,0.190029,0.130914
3,float,uniform,GPU,"P | P | P | P | D | N",128,9,0.033408,0.00213,0.09141,0.036704,0.225008,0.163652
3,float,uniform,GPU,"P | P | P | P | D | N",128,10,0.018016,0.00164,0.079129,0.029376,0.188578,0.128161
3,float,uniform,GPU,"P | P | P | P | D | N",128,11,0.0168,0.00159,0.079329,0.0288,0.187048,0.126519
3,float,uniform,GPU,"P | P | P | P | D | N",128,12,0.017216,0.00162,0.074829,0.031264,0.180718,0.124929
3,float,uniform,GPU,"P | P | P | P | D | N",128,13,0.01856,0.001611,0.079109,0.028288,0.188098,0.127568
3,float,uniform,GPU,"P | P | P | P | D | N",128,14,0.01664,0.001609,0.078719,0.030112,0.187958,0.12708
3,float,uniform,GPU,"P | P | P | P | D | N",128,15,0.021024,0.00157,0.078479,0.029536,0.191578,0.130609
3,float,uniform,GPU,"P | P | P | P | D | N",128,16,0.016896,0.00166,0.078999,0.0304,0.192018,0.127955
3,float,uniform,GPU,"P | P | P | P | D | N",128,17,0.018464,0.00156,0.079188,0.028544,0.189088,0.127756
3,float,uniform,GPU,"P | P | P | P | D | N",128,18,0.01808,0.001599,0.078858,0.032512,0.191987,0.131049
