dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",64,0,183.471,0.00289,0.08305,68.2385,251.902,251.795
3,float,uniform,GPU,"P | P | P | P | N | D",64,1,0.009152,0.001619,0.042941,0.014656,0.130898,0.068368
3,float,uniform,GPU,"P | P | P | P | N | D",64,2,0.022112,0.001551,0.041779,0.013056,0.141858,0.078498
3,float,uniform,GPU,"P | P | P | P | N | D",64,3,0.014528,0.001599,0.035319,0.01712,0.122088,0.068566
3,float,uniform,GPU,"P | P | P | P | N | D",64,4,0.009408,0.00158,0.042379,0.012192,0.128599,0.065559
3,float,uniform,GPU,"P | P | P | P | N | D",64,5,0.014816,0.001529,0.042078,0.01328,0.135399,0.071703
3,float,uniform,GPU,"P | P | P | P | N | D",64,6,0.012608,0.001649,0.04195,0.013024,0.132118,0.069231
3,float,uniform,GPU,"P | P | P | P | N | D",64,7,0.013056,0.001681,0.04264,0.013472,0.134549,0.070849
3,float,uniform,GPU,"P | P | P | P | N | D",64,8,0.008736,0.00151,0.04206,0.013536,0.129949,0.065842
3,float,uniform,GPU,"P | P | P | P | N | D",64,9,0.014016,0.00147,0.04241,0.012672,0.132198,0.070568
3,float,uniform,GPU,"P | P | P | P | N | D",64,10,0.017024,0.00149,0.03462,0.016576,0.122229,0.06971
3,float,uniform,GPU,"P | P | P | P | N | D",64,11,0.015104,0.00159,0.04185,0.012544,0.135469,0.071088
3,float,uniform,GPU,"P | P | P | P | N | D",64,12,0.014592,0.0016,0.04154,0.014624,0.135719,0.072356
3,float,uniform,GPU,"P | P | P | P | N | D",64,13,0.014752,0.0016,0.043619,0.011776,0.135429,0.071747
3,float,uniform,GPU,"P | P | P | P | N | D",64,14,0.015392,0.00162,0.0422,0.014432,0.135679,0.073644
3,float,uniform,GPU,"P | P | P | P | N | D",64,15,0.014048,0.00153,0.04247,0.01376,0.134809,0.071808
3,float,uniform,GPU,"P | P | P | P | N | D",64,16,0.014848,0.00148,0.04269,0.01248,0.136108,0.071498
3,float,uniform,GPU,"P | P | P | P | N | D",64,17,0.015328,0.00156,0.04182,0.013856,0.134598,0.072564
3,float,uniform,GPU,"P | P | P | P | N | D",64,18,0.015488,0.00154,0.04289,0.01376,0.136298,0.073678
3,float,uniform,GPU,"P | P | P | P | N | D",64,19,0.014272,0.00144,0.041609,0.0136,0.134579,0.070921
3,float,uniform,GPU,"P | P | P | P | N | D",64,20,0.017568,0.001661,0.041448,0.01168,0.135598,0.072357
3,float,uniform,GPU,"P | P | P | P | N | D",64,21,0.013568,0.00155,0.04208,0.011616,0.132918,0.068814
3,float,uniform,GPU,"P | P | P | P | N | D",64,22,0.014528,0.001549,0.041609,0.013056,0.135278,0.070742
3,float,uniform,GPU,"P | P | P | P | N | D",64,23,0.014752,0.00156,0.04242,0.012832,0.134318,0.071564
3,float,uniform,GPU,"P | P | P | P | N | D",64,24,0.014624,0.001668,0.042278,0.012224,0.142468,0.070794
3,float,uniform,GPU,"P | P | P | P | N | D",64,25,0.01568,0.00152,0.04263,0.013856,0.136868,0.073686
3,float,uniform,GPU,"P | P | P | P | N | D",64,26,0.015456,0.00161,0.04195,0.012512,0.134948,0.071528
3,float,uniform,GPU,"P | P | P | P | N | D",64,27,0.015936,0.00159,0.042058,0.014144,0.135078,0.073728
3,float,uniform,GPU,"P | P | P | P | N | D",64,28,0.013216,0.001519,0.041579,0.012256,0.132488,0.06857
3,float,uniform,GPU,"P | P | P | P | N | D",64,29,0.014592,0.00144,0.042419,0.012128,0.133969,0.070579
3,float,uniform,GPU,"P | P | P | P | N | D",64,30,0.008928,0.00149,0.04223,0.011968,0.127858,0.064616
3,float,uniform,GPU,"P | P | P | P | N | D",64,31,0.015136,0.00147,0.041809,0.014944,0.135819,0.073359
3,float,uniform,GPU,"P | P | P | P | N | D",64,32,0.015008,0.00164,0.04276,0.012576,0.136148,0.071984
3,float,uniform,GPU,"P | P | P | P | N | D",64,33,0.01472,0.00166,0.042638,0.01296,0.133848,0.071978
3,float,uniform,GPU,"P | P | P | P | N | D",64,34,0.009248,0.001611,0.035559,0.015808,0.114518,0.062226
3,float,uniform,GPU,"P | P | P | P | N | D",64,35,0.015168,0.001521,0.042579,0.013472,0.134918,0.07274
3,float,uniform,GPU,"P | P | P | P | N | D",64,36,0.013056,0.00159,0.04206,0.01312,0.132498,0.069826
3,float,uniform,GPU,"P | P | P | P | N | D",64,37,0.014528,0.00149,0.041579,0.013792,0.134969,0.071389
3,float,uniform,GPU,"P | P | P | P | N | D",64,38,0.014048,0.00174,0.04215,0.01296,0.134468,0.070898
3,float,uniform,GPU,"P | P | P | P | N | D",64,39,0.020128,0.00151,0.043469,0.011552,0.140128,0.076659
3,float,uniform,GPU,"P | P | P | P | N | D",64,40,0.013408,0.00149,0.042058,0.014112,0.133899,0.071068
3,float,uniform,GPU,"P | P | P | P | N | D",64,41,0.013024,0.00156,0.228288,0.012928,0.318586,0.2558
3,float,uniform,GPU,"P | P | P | P | N | D",64,42,0.014912,0.001501,0.04258,0.01376,0.135968,0.072753
3,float,uniform,GPU,"P | P | P | P | N | D",64,43,0.015488,0.001489,0.042859,0.01344,0.136738,0.073276
3,float,uniform,GPU,"P | P | P | P | N | D",64,44,0.013696,0.0015,0.042139,0.014592,0.135299,0.071927
3,float,uniform,GPU,"P | P | P | P | N | D",64,45,0.01328,0.00152,0.04183,0.011648,0.130928,0.068278
3,float,uniform,GPU,"P | P | P | P | N | D",64,46,0.008704,0.00144,0.04221,0.012384,0.127229,0.064738
3,float,uniform,GPU,"P | P | P | P | N | D",64,47,0.014336,0.0015,0.039081,0.013152,0.125989,0.068069
3,float,uniform,GPU,"P | P | P | P | N | D",64,48,0.015296,0.00149,0.04228,0.011072,0.134699,0.070138
3,float,uniform,GPU,"P | P | P | P | N | D",64,49,0.013152,0.00158,0.042169,0.01248,0.132408,0.069381
3,float,uniform,GPU,"P | P | P | P | N | D",64,50,0.016,0.001528,0.043249,0.012352,0.135478,0.073129
3,float,uniform,GPU,"P | P | P | P | N | D",64,51,0.014816,0.00146,0.0417,0.013376,0.133218,0.071352
3,float,uniform,GPU,"P | P | P | P | N | D",64,52,0.008736,0.00168,0.152998,0.011328,0.237527,0.174742
3,float,uniform,GPU,"P | P | P | P | N | D",64,53,0.015808,0.00144,0.035499,0.015168,0.121598,0.067915
3,float,uniform,GPU,"P | P | P | P | N | D",64,54,0.014976,0.00155,0.04185,0.01296,0.134139,0.071336
3,float,uniform,GPU,"P | P | P | P | N | D",64,55,0.014752,0.001541,0.043639,0.013856,0.136008,0.073788
3,float,uniform,GPU,"P | P | P | P | N | D",64,56,0.014816,0.00159,0.042039,0.015104,0.135999,0.073549
3,float,uniform,GPU,"P | P | P | P | N | D",64,57,0.014976,0.00152,0.042319,0.012288,0.133888,0.071103
3,float,uniform,GPU,"P | P | P | P | N | D",64,58,0.013952,0.00167,0.04208,0.013664,0.133699,0.071366
3,float,uniform,GPU,"P | P | P | P | N | D",64,59,0.017312,0.00152,0.036169,0.014784,0.123228,0.069785
3,float,uniform,GPU,"P | P | P | P | N | D",64,60,0.014976,0.00154,0.042579,0.01248,0.140879,0.071575
3,float,uniform,GPU,"P | P | P | P | N | D",64,61,0.015392,0.00149,0.042228,0.012768,0.134839,0.071878
3,float,uniform,GPU,"P | P | P | P | N | D",64,62,0.016064,0.00154,0.04224,0.012704,0.133679,0.072548
3,float,uniform,GPU,"P | P | P | P | N | D",64,63,0.014592,0.001499,0.04189,0.013888,0.134819,0.071869
3,float,uniform,GPU,"P | P | P | P | N | D",64,64,0.014816,0.00171,0.04231,0.013376,0.142488,0.072212
3,float,uniform,GPU,"P | P | P | P | N | D",64,65,0.01312,0.00154,0.042909,0.012512,0.132718,0.070081
3,float,uniform,GPU,"P | P | P | P | N | D",64,66,0.016288,0.001541,0.04228,0.012672,0.134069,0.072781
3,float,uniform,GPU,"P | P | P | P | N | D",64,67,0.014784,0.001471,0.042539,0.014176,0.136168,0.07297
3,float,uniform,GPU,"P | P | P | P | N | D",64,68,0.116096,0.001471,0.04235,0.010944,0.234257,0.170861
3,float,uniform,GPU,"P | P | P | P | N | D",64,69,0.014784,0.00153,0.04294,0.01376,0.136408,0.073014
3,float,uniform,GPU,"P | P | P | P | N | D",64,70,0.01488,0.001582,0.04169,0.013504,0.134778,0.071656
3,float,uniform,GPU,"P | P | P | P | N | D",64,71,0.013408,0.00147,0.042069,0.012992,0.132418,0.069939
3,float,uniform,GPU,"P | P | P | P | N | D",64,72,0.009184,0.00153,0.04204,0.013312,0.128228,0.066066
3,float,uniform,GPU,"P | P | P | P | N | D",64,73,0.014304,0.001518,0.042081,0.012512,0.132898,0.070415
3,float,uniform,GPU,"P | P | P | P | N | D",64,74,0.014464,0.00146,0.041649,0.013504,0.134669,0.071077
3,float,uniform,GPU,"P | P | P | P | N | D",128,0,0.030368,0.00174,0.08966,0.03376,0.218178,0.155528
3,float,uniform,GPU,"P | P | P | P | N | D",128,1,0.01696,0.001901,0.078659,0.028928,0.196847,0.126448
3,float,uniform,GPU,"P | P | P | P | N | D",128,2,0.018496,0.0016,0.075789,0.028736,0.184967,0.124621
3,float,uniform,GPU,"P | P | P | P | N | D",128,3,0.01824,0.001751,0.077239,0.06768,0.227377,0.16491
3,float,uniform,GPU,"P | P | P | P | N | D",128,4,0.01696,0.001709,0.068669,0.031456,0.172148,0.118794
3,float,uniform,GPU,"P | P | P | P | N | D",128,5,0.018112,0.00158,0.073069,0.030688,0.180878,0.123449
3,float,uniform,GPU,"P | P | P | P | N | D",128,6,0.02432,0.00172,0.077209,0.030208,0.195348,0.133457
3,float,uniform,GPU,"P | P | P | P | N | D",128,7,0.017568,0.001661,0.076378,0.029056,0.185118,0.124663
3,float,uniform,GPU,"P | P | P | P | N | D",128,8,0.0176,0.00149,0.07756,0.028512,0.185598,0.125162
3,float,uniform,GPU,"P | P | P | P | N | D",128,9,0.02672,0.00153,0.07812,0.02848,0.194857,0.13485
3,float,uniform,GPU,"P | P | P | P | N | D",128,10,0.018752,0.00157,0.07673,0.028416,0.186128,0.125468
3,float,uniform,GPU,"P | P | P | P | N | D",128,11,0.019232,0.001591,0.076469,0.02928,0.186268,0.126572
3,float,uniform,GPU,"P | P | P | P | N | D",128,12,0.018752,0.001461,0.076139,0.02896,0.185918,0.125312
3,float,uniform,GPU,"P | P | P | P | N | D",128,13,0.018816,0.00151,0.07545,0.027904,0.184277,0.12368
3,float,uniform,GPU,"P | P | P | P | N | D",128,14,0.0192,0.00161,0.07581,0.029312,0.185218,0.125932
3,float,uniform,GPU,"P | P | P | P | N | D",128,15,0.019424,0.001452,0.076788,0.027584,0.185948,0.125248
3,float,uniform,GPU,"P | P | P | P | N | D",128,16,0.016896,0.001491,0.07624,0.031776,0.187128,0.126403
3,float,uniform,GPU,"P | P | P | P | N | D",128,17,0.017312,0.001559,0.077039,0.02928,0.185908,0.12519
