dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",64,0,0.19552,0,0.092309,200.836,201.22,201.124
3,float,uniform,CPU,"D | D | D | D | D | D",64,1,0.15696,0,0.040809,0.01072,0.251847,0.208489
3,float,uniform,CPU,"D | D | D | D | D | D",64,2,0.140352,0,0.041249,0.011008,0.233208,0.192609
3,float,uniform,CPU,"D | D | D | D | D | D",64,3,0.149696,0,0.03441,0.0104,0.233798,0.194506
3,float,uniform,CPU,"D | D | D | D | D | D",64,4,0.142336,0,0.035899,0.00944,0.230227,0.187675
3,float,uniform,CPU,"D | D | D | D | D | D",64,5,0.139136,0,0.033639,0.009024,0.222198,0.181799
3,float,uniform,CPU,"D | D | D | D | D | D",64,6,0.139552,0,0.03384,0.009568,0.219238,0.18296
3,float,uniform,CPU,"D | D | D | D | D | D",64,7,0.139264,0,0.033449,0.0088,0.223618,0.181513
3,float,uniform,CPU,"D | D | D | D | D | D",64,8,0.138496,0,0.03347,0.009088,0.221798,0.181054
3,float,uniform,CPU,"D | D | D | D | D | D",64,9,0.141344,0,0.03466,0.01024,0.225688,0.186244
3,float,uniform,CPU,"D | D | D | D | D | D",64,10,0.14096,0,0.03414,0.008704,0.224618,0.183804
3,float,uniform,CPU,"D | D | D | D | D | D",64,11,0.140096,0,0.03362,0.009792,0.224318,0.183508
3,float,uniform,CPU,"D | D | D | D | D | D",64,12,0.140256,0,0.03379,0.008672,0.229957,0.182718
3,float,uniform,CPU,"D | D | D | D | D | D",64,13,0.141216,0,0.03367,0.009792,0.223668,0.184678
3,float,uniform,CPU,"D | D | D | D | D | D",64,14,0.140256,0,0.034179,0.009952,0.226067,0.184387
3,float,uniform,CPU,"D | D | D | D | D | D",64,15,0.139904,0,0.035529,0.009312,0.225867,0.184745
3,float,uniform,CPU,"D | D | D | D | D | D",64,16,0.140384,0,0.03364,0.009472,0.225278,0.183496
3,float,uniform,CPU,"D | D | D | D | D | D",64,17,0.139552,0,0.03602,0.010048,0.228337,0.18562
3,float,uniform,CPU,"D | D | D | D | D | D",64,18,0.140512,0,0.030961,0.01072,0.217338,0.182193
3,float,uniform,CPU,"D | D | D | D | D | D",64,19,0.140416,0,0.034669,0.009856,0.229717,0.184941
3,float,uniform,CPU,"D | D | D | D | D | D",64,20,0.14064,0,0.035299,0.00912,0.225567,0.185059
3,float,uniform,CPU,"D | D | D | D | D | D",64,21,0.139136,0,0.0339,0.008,0.222277,0.181036
3,float,uniform,CPU,"D | D | D | D | D | D",64,22,0.14032,0,0.035529,0.009888,0.226937,0.185737
3,float,uniform,CPU,"D | D | D | D | D | D",64,23,0.138816,0,0.035079,0.009568,0.224377,0.183463
3,float,uniform,CPU,"D | D | D | D | D | D",64,24,0.141504,0,0.03453,0.010368,0.225768,0.186402
3,float,uniform,CPU,"D | D | D | D | D | D",64,25,0.13616,0,0.03094,0.01024,0.211677,0.17734
3,float,uniform,CPU,"D | D | D | D | D | D",64,26,0.140128,0,0.033849,0.009344,0.224037,0.183321
3,float,uniform,CPU,"D | D | D | D | D | D",64,27,0.140192,0,0.03478,0.009664,0.225048,0.184636
3,float,uniform,CPU,"D | D | D | D | D | D",64,28,0.138144,0,0.034819,0.008928,0.222637,0.181891
3,float,uniform,CPU,"D | D | D | D | D | D",64,29,0.143168,0,0.152288,0.010816,0.346196,0.306272
3,float,uniform,CPU,"D | D | D | D | D | D",64,30,0.141792,0,0.03445,0.009888,0.228028,0.18613
3,float,uniform,CPU,"D | D | D | D | D | D",64,31,0.139456,0,0.03525,0.008256,0.223928,0.182962
3,float,uniform,CPU,"D | D | D | D | D | D",64,32,0.140864,0,0.03413,0.009568,0.224277,0.184562
3,float,uniform,CPU,"D | D | D | D | D | D",64,33,0.139104,0,0.03386,0.00992,0.223567,0.182884
3,float,uniform,CPU,"D | D | D | D | D | D",64,34,0.144896,0,0.03369,0.008576,0.227748,0.187162
3,float,uniform,CPU,"D | D | D | D | D | D",64,35,0.146688,0,0.03386,0.012224,0.232357,0.192772
3,float,uniform,CPU,"D | D | D | D | D | D",64,36,0.140736,0,0.03496,0.009856,0.227587,0.185552
3,float,uniform,CPU,"D | D | D | D | D | D",64,37,0.138528,0,0.033869,0.008896,0.221427,0.181293
3,float,uniform,CPU,"D | D | D | D | D | D",64,38,0.1408,0,0.03383,0.010592,0.224547,0.185222
3,float,uniform,CPU,"D | D | D | D | D | D",64,39,0.140544,0,0.03366,0.008416,0.224097,0.18262
3,float,uniform,CPU,"D | D | D | D | D | D",64,40,0.141344,0,0.03379,0.009408,0.225788,0.184542
3,float,uniform,CPU,"D | D | D | D | D | D",64,41,0.140608,0,0.034169,0.010176,0.226158,0.184953
3,float,uniform,CPU,"D | D | D | D | D | D",64,42,0.14272,0,0.03582,0.010496,0.231738,0.189036
3,float,uniform,CPU,"D | D | D | D | D | D",64,43,0.141152,0,0.035309,0.010208,0.229317,0.186669
3,float,uniform,CPU,"D | D | D | D | D | D",64,44,0.144384,0,0.03497,0.011104,0.230358,0.190458
3,float,uniform,CPU,"D | D | D | D | D | D",64,45,0.1376,0,0.03433,0.010528,0.222877,0.182458
3,float,uniform,CPU,"D | D | D | D | D | D",64,46,0.141056,0,0.0339,0.00944,0.224538,0.184396
3,float,uniform,CPU,"D | D | D | D | D | D",64,47,0.147808,0,0.03554,0.009504,0.233417,0.192852
3,float,uniform,CPU,"D | D | D | D | D | D",64,48,0.1416,0,0.136249,0.011648,0.328146,0.289497
3,float,uniform,CPU,"D | D | D | D | D | D",64,49,0.138272,0,0.031969,0.01152,0.217548,0.181761
3,float,uniform,CPU,"D | D | D | D | D | D",64,50,0.140032,0,0.03577,0.008768,0.225338,0.18457
3,float,uniform,CPU,"D | D | D | D | D | D",64,51,0.137216,0,0.0302,0.0112,0.211868,0.178616
3,float,uniform,CPU,"D | D | D | D | D | D",64,52,0.139744,0,0.03444,0.008736,0.224417,0.18292
3,float,uniform,CPU,"D | D | D | D | D | D",64,53,0.140096,0,0.034369,0.010016,0.229617,0.184481
3,float,uniform,CPU,"D | D | D | D | D | D",64,54,0.147712,0,0.03529,0.00992,0.233198,0.192922
3,float,uniform,CPU,"D | D | D | D | D | D",64,55,0.139712,0,0.034949,0.011808,0.227687,0.186469
3,float,uniform,CPU,"D | D | D | D | D | D",64,56,0.140192,0,0.033999,0.009536,0.224107,0.183727
3,float,uniform,CPU,"D | D | D | D | D | D",64,57,0.141888,0,0.035199,0.010336,0.228247,0.187423
3,float,uniform,CPU,"D | D | D | D | D | D",64,58,0.141632,0,0.034149,0.009408,0.224347,0.185189
3,float,uniform,CPU,"D | D | D | D | D | D",64,59,0.146592,0,0.03375,0.0096,0.230217,0.189942
3,float,uniform,CPU,"D | D | D | D | D | D",64,60,0.141728,0,0.03739,0.009024,0.228097,0.188142
3,float,uniform,CPU,"D | D | D | D | D | D",64,61,0.252384,0,0.03383,0.009824,0.337186,0.296038
3,float,uniform,CPU,"D | D | D | D | D | D",64,62,0.142272,0,0.03448,0.011776,0.231187,0.188528
3,float,uniform,CPU,"D | D | D | D | D | D",64,63,0.141568,0,0.03417,0.011712,0.225977,0.18745
3,float,uniform,CPU,"D | D | D | D | D | D",64,64,0.141024,0,0.03394,0.016288,0.232538,0.191252
3,float,uniform,CPU,"D | D | D | D | D | D",64,65,0.14048,0,0.04039,0.00928,0.232177,0.19015
3,float,uniform,CPU,"D | D | D | D | D | D",64,66,0.141024,0,0.03387,0.009024,0.224737,0.183918
3,float,uniform,CPU,"D | D | D | D | D | D",64,67,0.13952,0,0.03414,0.00944,0.224118,0.1831
3,float,uniform,CPU,"D | D | D | D | D | D",64,68,0.14208,0,0.03552,0.009696,0.228657,0.187296
3,float,uniform,CPU,"D | D | D | D | D | D",64,69,0.141984,0,0.03382,0.009024,0.226718,0.184828
3,float,uniform,CPU,"D | D | D | D | D | D",64,70,0.141376,0,0.035889,0.009952,0.229097,0.187217
3,float,uniform,CPU,"D | D | D | D | D | D",64,71,0.142656,0,0.03881,0.009024,0.233478,0.19049
3,float,uniform,CPU,"D | D | D | D | D | D",64,72,0.145632,0,0.034739,0.008992,0.230298,0.189363
3,float,uniform,CPU,"D | D | D | D | D | D",64,73,0.139648,0,0.03535,0.009216,0.224878,0.184214
3,float,uniform,CPU,"D | D | D | D | D | D",64,74,0.14192,0,0.03368,0.009632,0.224728,0.185232
3,float,uniform,CPU,"D | D | D | D | D | D",128,0,0.806816,0,0.148018,0.025344,1.0296,0.980178
3,float,uniform,CPU,"D | D | D | D | D | D",128,1,0.801664,0,0.136438,0.019392,1.00192,0.957494
3,float,uniform,CPU,"D | D | D | D | D | D",128,2,0.797792,0,0.133478,0.022752,0.991028,0.954022
3,float,uniform,CPU,"D | D | D | D | D | D",128,3,0.798336,0,0.134978,0.020416,0.996668,0.95373
3,float,uniform,CPU,"D | D | D | D | D | D",128,4,0.78768,0,0.135728,0.018496,0.985639,0.941904
3,float,uniform,CPU,"D | D | D | D | D | D",128,5,0.85408,0,0.134778,0.0192,1.05197,1.00806
3,float,uniform,CPU,"D | D | D | D | D | D",128,6,0.796768,0,0.135969,0.019296,0.994379,0.952033
3,float,uniform,CPU,"D | D | D | D | D | D",128,7,0.79216,0,0.138149,0.020992,0.994799,0.951301
3,float,uniform,CPU,"D | D | D | D | D | D",128,8,0.802752,0,0.151638,0.026752,1.0496,0.981142
3,float,uniform,CPU,"D | D | D | D | D | D",128,9,0.79728,0,0.137428,0.019872,0.996639,0.95458
3,float,uniform,CPU,"D | D | D | D | D | D",128,10,0.801824,0,0.137808,0.019072,1.00288,0.958704
3,float,uniform,CPU,"D | D | D | D | D | D",128,11,0.79728,0,0.137588,0.019456,0.998389,0.954324
3,float,uniform,CPU,"D | D | D | D | D | D",128,12,0.790624,0,0.135598,0.02064,0.990859,0.946862
3,float,uniform,CPU,"D | D | D | D | D | D",128,13,0.788288,0,0.136228,0.020768,0.988269,0.945284
3,float,uniform,CPU,"D | D | D | D | D | D",128,14,0.802048,0,0.137219,0.020768,1.00208,0.960035
3,float,uniform,CPU,"D | D | D | D | D | D",128,15,0.80096,0,0.136998,0.01984,1.00179,0.957798
3,float,uniform,CPU,"D | D | D | D | D | D",128,16,0.805184,0,0.136448,0.019456,1.00408,0.961088
