dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",64,0,185.85,0.004461,0.070458,52.2297,238.259,238.154
3,float,uniform,CPU,"D | D | D | D | N | D",64,1,0.169568,0.00165,0.047939,0.00912,0.276668,0.228277
3,float,uniform,CPU,"D | D | D | D | N | D",64,2,0.153664,0.001609,0.04384,0.007936,0.253737,0.207049
3,float,uniform,CPU,"D | D | D | D | N | D",64,3,0.152256,0.00154,0.05234,0.00784,0.261027,0.213976
3,float,uniform,CPU,"D | D | D | D | N | D",64,4,0.156096,0.00148,0.043859,0.009568,0.256918,0.211003
3,float,uniform,CPU,"D | D | D | D | N | D",64,5,0.148864,0.00193,0.044031,0.0064,0.248997,0.201225
3,float,uniform,CPU,"D | D | D | D | N | D",64,6,0.152352,0.001711,0.04362,0.008032,0.249728,0.205715
3,float,uniform,CPU,"D | D | D | D | N | D",64,7,0.152288,0.00155,0.044448,0.00832,0.260807,0.206606
3,float,uniform,CPU,"D | D | D | D | N | D",64,8,0.152064,0.001549,0.044139,0.007616,0.251757,0.205368
3,float,uniform,CPU,"D | D | D | D | N | D",64,9,0.152672,0.00151,0.04439,0.006752,0.251678,0.205324
3,float,uniform,CPU,"D | D | D | D | N | D",64,10,0.153248,0.00182,0.051699,0.008416,0.260178,0.215183
3,float,uniform,CPU,"D | D | D | D | N | D",64,11,0.14848,0.00148,0.037549,0.010944,0.236407,0.198453
3,float,uniform,CPU,"D | D | D | D | N | D",64,12,0.152608,0.00153,0.043149,0.008896,0.250988,0.206183
3,float,uniform,CPU,"D | D | D | D | N | D",64,13,0.42704,0.001589,0.043509,0.0088,0.527564,0.480938
3,float,uniform,CPU,"D | D | D | D | N | D",64,14,0.14912,0.001519,0.04361,0.008864,0.248497,0.203113
3,float,uniform,CPU,"D | D | D | D | N | D",64,15,0.153344,0.00146,0.043378,0.007712,0.250507,0.205894
3,float,uniform,CPU,"D | D | D | D | N | D",64,16,0.157536,0.001531,0.043639,0.009856,0.260028,0.212562
3,float,uniform,CPU,"D | D | D | D | N | D",64,17,0.153344,0.001519,0.04412,0.009184,0.254588,0.208167
3,float,uniform,CPU,"D | D | D | D | N | D",64,18,0.149408,0.00148,0.04518,0.007712,0.249177,0.20378
3,float,uniform,CPU,"D | D | D | D | N | D",64,19,0.151232,0.001541,0.04363,0.008352,0.250578,0.204755
3,float,uniform,CPU,"D | D | D | D | N | D",64,20,0.155904,0.001519,0.04381,0.00704,0.254458,0.208273
