dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,0.19456,0.00272,0.111989,202.226,202.645,202.535
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,0.157184,0.001601,0.052759,0.014368,0.271357,0.225912
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,0.140512,0.00161,0.045469,0.008736,0.240367,0.196327
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,0.14224,0.00155,0.045808,0.008672,0.242657,0.19827
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,0.13984,0.0015,0.047909,0.009696,0.241668,0.198945
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,0.143168,0.00149,0.05069,0.0096,0.247707,0.204948
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,0.148352,0.00149,0.046809,0.009568,0.249277,0.206219
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,0.139424,0.00151,0.046329,0.009952,0.240858,0.197215
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,0.141376,0.00153,0.045999,0.008896,0.239677,0.197801
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,0.14208,0.001689,0.04495,0.007776,0.240078,0.196495
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,0.14352,0.001399,0.047279,0.010304,0.244487,0.202502
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,0.143424,0.00151,0.04487,0.008768,0.241338,0.198572
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,0.141376,0.00152,0.046319,0.008448,0.240478,0.197663
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,0.140224,0.00146,0.04497,0.008992,0.238797,0.195646
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,0.148736,0.00153,0.045241,0.0088,0.246507,0.204307
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,0.1432,0.00151,0.322156,0.009504,0.520554,0.47637
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,0.140224,0.00171,0.042199,0.011936,0.234697,0.196069
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,0.139808,0.00155,0.04483,0.010208,0.237417,0.196396
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,0.149664,0.00169,0.046929,0.009376,0.254266,0.207659
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,0.141856,0.001529,0.046579,0.009056,0.244657,0.19902
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,20,0.139744,0.00152,0.04568,0.009088,0.238788,0.196032
