dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"N | D | N | N | N | N",64,0,0.192192,0.00278,0.11503,196.982,197.4,197.292
3,float,uniform,CPU,"N | D | N | N | N | N",64,1,0.15184,0.001529,0.04644,0.013984,0.251717,0.213793
3,float,uniform,CPU,"N | D | N | N | N | N",64,2,0.14176,0.00145,0.048379,0.009184,0.244027,0.200773
3,float,uniform,CPU,"N | D | N | N | N | N",64,3,0.140992,0.00143,0.053119,0.008768,0.246227,0.204309
3,float,uniform,CPU,"N | D | N | N | N | N",64,4,0.14432,0.001389,0.04956,0.008736,0.246807,0.204005
3,float,uniform,CPU,"N | D | N | N | N | N",64,5,0.142176,0.001429,0.047269,0.00768,0.244327,0.198554
3,float,uniform,CPU,"N | D | N | N | N | N",64,6,0.143136,0.00141,0.04879,0.008896,0.246437,0.202232
3,float,uniform,CPU,"N | D | N | N | N | N",64,7,0.142272,0.001329,0.047548,0.010496,0.242997,0.201645
3,float,uniform,CPU,"N | D | N | N | N | N",64,8,0.141792,0.00137,0.04767,0.008064,0.239507,0.198896
3,float,uniform,CPU,"N | D | N | N | N | N",64,9,0.14176,0.001399,0.047539,0.008768,0.247187,0.199466
3,float,uniform,CPU,"N | D | N | N | N | N",64,10,0.142656,0.00137,0.048279,0.010176,0.243057,0.202481
3,float,uniform,CPU,"N | D | N | N | N | N",64,11,0.142048,0.00146,0.047149,0.009696,0.244467,0.200353
3,float,uniform,CPU,"N | D | N | N | N | N",64,12,0.141472,0.00138,0.04755,0.00912,0.240797,0.199522
3,float,uniform,CPU,"N | D | N | N | N | N",64,13,0.139872,0.00132,0.047579,0.008864,0.239978,0.197635
3,float,uniform,CPU,"N | D | N | N | N | N",64,14,0.142624,0.001351,0.047729,0.009504,0.241457,0.201208
3,float,uniform,CPU,"N | D | N | N | N | N",64,15,0.143296,0.00146,0.048249,0.00912,0.244297,0.202125
3,float,uniform,CPU,"N | D | N | N | N | N",64,16,0.141408,0.00144,0.047029,0.009568,0.240467,0.199445
3,float,uniform,CPU,"N | D | N | N | N | N",64,17,0.142208,0.001379,0.04812,0.008672,0.241798,0.200379
3,float,uniform,CPU,"N | D | N | N | N | N",64,18,0.140992,0.00144,0.04712,0.008672,0.241057,0.198224
3,float,uniform,CPU,"N | D | N | N | N | N",64,19,0.143968,0.00143,0.0493,0.010432,0.250707,0.20513
3,float,uniform,CPU,"N | D | N | N | N | N",64,20,0.14272,0.001421,0.045969,0.010592,0.241758,0.200702
3,float,uniform,CPU,"N | D | N | N | N | N",64,21,0.148416,0.00138,0.0477,0.009216,0.248727,0.206712
3,float,uniform,CPU,"N | D | N | N | N | N",64,22,0.142176,0.00153,0.04958,0.007392,0.243977,0.200678
3,float,uniform,CPU,"N | D | N | N | N | N",64,23,0.14272,0.001379,0.048349,0.008512,0.243267,0.20096
3,float,uniform,CPU,"N | D | N | N | N | N",64,24,0.14288,0.001351,0.04984,0.008832,0.245847,0.202903
3,float,uniform,CPU,"N | D | N | N | N | N",64,25,0.1424,0.00132,0.04864,0.008288,0.244227,0.200648
3,float,uniform,CPU,"N | D | N | N | N | N",64,26,0.138976,0.001349,0.040341,0.011072,0.225118,0.191738
3,float,uniform,CPU,"N | D | N | N | N | N",64,27,0.141792,0.001349,0.04828,0.00896,0.243278,0.200381
3,float,uniform,CPU,"N | D | N | N | N | N",64,28,0.142176,0.00133,0.04746,0.00896,0.242067,0.199926
3,float,uniform,CPU,"N | D | N | N | N | N",64,29,0.14288,0.001351,0.04847,0.009856,0.242907,0.202557
3,float,uniform,CPU,"N | D | N | N | N | N",64,30,0.145056,0.00142,0.057279,0.009248,0.254238,0.213003
3,float,uniform,CPU,"N | D | N | N | N | N",64,31,0.141632,0.0014,0.047779,0.008032,0.244637,0.198843
3,float,uniform,CPU,"N | D | N | N | N | N",64,32,0.141984,0.00137,0.048729,0.009472,0.244687,0.201555
3,float,uniform,CPU,"N | D | N | N | N | N",64,33,0.14192,0.00134,0.04707,0.009056,0.240328,0.199386
3,float,uniform,CPU,"N | D | N | N | N | N",64,34,0.14112,0.00142,0.047321,0.006656,0.239328,0.196517
3,float,uniform,CPU,"N | D | N | N | N | N",64,35,0.146784,0.001349,0.04749,0.010688,0.248537,0.206311
3,float,uniform,CPU,"N | D | N | N | N | N",64,36,0.142176,0.00137,0.04867,0.010656,0.244918,0.202872
3,float,uniform,CPU,"N | D | N | N | N | N",64,37,0.142272,0.001471,0.047379,0.00912,0.243207,0.200242
3,float,uniform,CPU,"N | D | N | N | N | N",64,38,0.142368,0.0014,0.04713,0.008256,0.239447,0.199154
3,float,uniform,CPU,"N | D | N | N | N | N",64,39,0.149024,0.00148,0.048321,0.007776,0.250627,0.206601
3,float,uniform,CPU,"N | D | N | N | N | N",64,40,0.140384,0.001421,0.047869,0.01088,0.241557,0.200554
3,float,uniform,CPU,"N | D | N | N | N | N",64,41,0.145344,0.001529,0.048039,0.010656,0.247737,0.205568
3,float,uniform,CPU,"N | D | N | N | N | N",64,42,0.142272,0.001521,0.04686,0.008352,0.240387,0.199005
3,float,uniform,CPU,"N | D | N | N | N | N",64,43,0.14272,0.00142,0.04791,0.008928,0.242707,0.200978
3,float,uniform,CPU,"N | D | N | N | N | N",64,44,0.139776,0.001289,0.046849,0.009312,0.238977,0.197226
3,float,uniform,CPU,"N | D | N | N | N | N",64,45,0.146688,0.00147,0.05002,0.008864,0.252257,0.207042
3,float,uniform,CPU,"N | D | N | N | N | N",64,46,0.149664,0.00147,0.047481,0.007808,0.248717,0.206423
3,float,uniform,CPU,"N | D | N | N | N | N",64,47,0.143008,0.00134,0.048379,0.009312,0.244917,0.202039
3,float,uniform,CPU,"N | D | N | N | N | N",64,48,0.139328,0.001539,0.047069,0.009568,0.238837,0.197504
3,float,uniform,CPU,"N | D | N | N | N | N",64,49,0.141344,0.00134,0.048088,0.00896,0.243247,0.199732
3,float,uniform,CPU,"N | D | N | N | N | N",64,50,0.143904,0.001391,0.050169,0.010048,0.248377,0.205512
3,float,uniform,CPU,"N | D | N | N | N | N",64,51,0.144032,0.00138,0.048639,0.008864,0.244878,0.202915
3,float,uniform,CPU,"N | D | N | N | N | N",64,52,0.140992,0.001349,0.047309,0.007584,0.240538,0.197234
3,float,uniform,CPU,"N | D | N | N | N | N",64,53,0.140064,0.001369,0.047959,0.008832,0.240258,0.198224
3,float,uniform,CPU,"N | D | N | N | N | N",64,54,0.26448,0.001361,0.04731,0.007968,0.364156,0.321119
3,float,uniform,CPU,"N | D | N | N | N | N",64,55,0.141376,0.0014,0.048569,0.009312,0.243137,0.200657
3,float,uniform,CPU,"N | D | N | N | N | N",64,56,0.144288,0.00142,0.04956,0.008896,0.246057,0.204164
3,float,uniform,CPU,"N | D | N | N | N | N",64,57,0.141984,0.00141,0.048899,0.01056,0.246237,0.202853
3,float,uniform,CPU,"N | D | N | N | N | N",64,58,0.142848,0.001381,0.048298,0.010336,0.246027,0.202863
3,float,uniform,CPU,"N | D | N | N | N | N",64,59,0.140416,0.00134,0.04701,0.00832,0.238948,0.197086
3,float,uniform,CPU,"N | D | N | N | N | N",64,60,0.1408,0.0014,0.048079,0.00832,0.241128,0.198599
3,float,uniform,CPU,"N | D | N | N | N | N",64,61,0.141024,0.00137,0.04763,0.00912,0.248047,0.199144
3,float,uniform,CPU,"N | D | N | N | N | N",64,62,0.149376,0.00132,0.05033,0.008832,0.250557,0.209858
3,float,uniform,CPU,"N | D | N | N | N | N",64,63,0.140128,0.001489,0.046381,0.009248,0.239188,0.197246
3,float,uniform,CPU,"N | D | N | N | N | N",64,64,0.140896,0.001429,0.04698,0.008096,0.238617,0.197401
3,float,uniform,CPU,"N | D | N | N | N | N",64,65,0.149792,0.00137,0.046949,0.008576,0.250087,0.206687
3,float,uniform,CPU,"N | D | N | N | N | N",64,66,0.144992,0.001411,0.04784,0.008096,0.242967,0.202339
3,float,uniform,CPU,"N | D | N | N | N | N",64,67,0.144512,0.00133,0.04753,0.008192,0.243557,0.201564
3,float,uniform,CPU,"N | D | N | N | N | N",64,68,0.139648,0.00158,0.0406,0.010624,0.226657,0.192452
3,float,uniform,CPU,"N | D | N | N | N | N",64,69,0.14528,0.00147,0.04203,0.010816,0.234268,0.199596
3,float,uniform,CPU,"N | D | N | N | N | N",64,70,0.143552,0.00153,0.04919,0.010432,0.248097,0.204704
3,float,uniform,CPU,"N | D | N | N | N | N",64,71,0.14336,0.001551,0.04777,0.008992,0.244297,0.201673
3,float,uniform,CPU,"N | D | N | N | N | N",64,72,0.143488,0.00145,0.047469,0.010624,0.243488,0.203031
3,float,uniform,CPU,"N | D | N | N | N | N",64,73,0.143936,0.001399,0.04746,0.009376,0.244577,0.202171
3,float,uniform,CPU,"N | D | N | N | N | N",64,74,0.142208,0.001449,0.04758,0.01056,0.243307,0.201797
3,float,uniform,CPU,"N | D | N | N | N | N",128,0,0.8112,0.001811,0.142958,0.02528,1.03353,0.981249
3,float,uniform,CPU,"N | D | N | N | N | N",128,1,0.79472,0.0015,0.126978,0.019968,0.986289,0.943166
3,float,uniform,CPU,"N | D | N | N | N | N",128,2,0.799776,0.00143,0.126808,0.020544,0.992488,0.948558
3,float,uniform,CPU,"N | D | N | N | N | N",128,3,0.797024,0.00142,0.128698,0.02624,1.00094,0.953382
