dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,0,185.032,0.002978,0.07278,69.2777,254.5,254.386
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,1,0.171488,0.001789,0.047978,0.014688,0.298246,0.235943
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,2,0.147712,0.00159,0.041928,0.015008,0.261547,0.206238
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,3,0.150784,0.00157,0.042501,0.014208,0.264387,0.209063
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,4,0.148128,0.001519,0.04162,0.011744,0.254607,0.203011
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,5,0.148736,0.00151,0.03911,0.014976,0.251037,0.204332
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,6,0.151872,0.00163,0.042119,0.013248,0.262828,0.208869
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,7,0.147776,0.001549,0.041759,0.01264,0.257757,0.203724
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,8,0.149856,0.00165,0.04236,0.010848,0.258727,0.204714
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,9,0.151616,0.00152,0.042319,0.0136,0.264167,0.209055
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,10,0.150016,0.0015,0.04238,0.014656,0.261397,0.208552
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,11,0.147008,0.00147,0.036321,0.015168,0.249987,0.199967
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,12,0.151168,0.00153,0.041649,0.0144,0.262687,0.208747
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,13,0.151584,0.001629,0.04221,0.013824,0.262057,0.209247
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,14,0.150016,0.00153,0.126238,0.013632,0.345526,0.291416
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,15,0.149696,0.001549,0.042571,0.013056,0.261197,0.206872
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,16,0.149024,0.00154,0.042529,0.012416,0.259777,0.205509
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,17,0.188864,0.001529,0.03464,0.017312,0.282237,0.242345
