dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,0,    1019.804885
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,1,    1018.517266
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,2,    1025.087690
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,3,    1027.348950
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,4,    1024.256641
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,5,    1020.765633
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,6,    1030.717661
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,7,    1021.440298
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,8,    1022.683940
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,9,    1026.762245
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,10,    1027.880930
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,11,    1022.312577
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,12,    1022.842266
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,13,    1017.934083
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,14,    1015.066980
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,15,    1022.838121
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,16,    1024.146919
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,17,    1009.679191
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,18,    1017.506218
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,19,    1011.783314
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,20,    1014.691445
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,21,    1014.209136
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,22,    1014.584175
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,23,    1024.935695
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,24,    1026.568233
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,25,    1016.217722
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,26,    1007.518534
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,27,    1021.833847
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,28,    1019.123762
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,512,29,    1016.235794
