dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,0,    1200.893932
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,1,    1195.727192
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,2,    1194.376068
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,3,    1195.930749
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,4,    1195.779793
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,5,    1195.619052
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,6,    1195.260297
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,7,    1194.872081
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,8,    1194.350331
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,9,    1194.842100
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,10,    1195.622564
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,11,    1196.852754
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,12,    1197.341809
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,13,    1197.143177
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,14,    1194.309510
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,15,    1194.782216
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,16,    1196.120037
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,17,    1197.187940
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,18,    1196.057370
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,19,    1196.353954
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,20,    1194.795623
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,21,    1194.527082
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,22,    1194.824964
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,23,    1193.037266
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,24,    1193.553499
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,25,    1194.332056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,26,    1194.848080
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,27,    1197.220305
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,28,    1196.569901
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,512,29,    1197.112410
