dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,0,     874.244399
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,1,     856.614433
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,2,     868.642595
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,3,     877.081445
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,4,     867.205246
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,5,     869.188213
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,6,     864.945144
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,7,     879.853925
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,8,     864.609670
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,9,     869.938881
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,10,     869.371613
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,11,     861.522230
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,12,     861.844506
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,13,     865.345509
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,14,     891.487047
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,15,     862.073722
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,16,     861.715053
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,17,     861.055597
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,18,     885.641772
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,19,     859.850109
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,20,     861.491121
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,21,     870.523044
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,22,     862.203404
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,23,     863.300294
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,24,     860.409315
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,25,     857.867460
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,26,     867.823679
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,27,     864.587869
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,28,     853.663776
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,29,     854.027648
