dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,0,    3656.710271
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,1,    3663.367902
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,2,    3660.099154
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,3,    3659.958374
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,4,    3659.337107
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,5,    3660.455904
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,6,    3662.397851
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,7,    3659.343912
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,8,    3659.630971
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,9,    3662.010560
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,10,    3663.270263
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,11,    3657.454212
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,12,    3661.553437
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,13,    3662.930100
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,14,    3659.635023
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,15,    3657.240667
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,16,    3662.267385
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,17,    3654.170904
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,18,    3660.284782
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,19,    3658.708170
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,20,    3656.056108
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,21,    3661.038179
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,22,    3661.805434
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,23,    3657.921272
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,24,    3662.082957
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,25,    3655.532823
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,26,    3663.227630
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,27,    3661.240352
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,28,    3658.278424
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,512,29,    3658.806180
