dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,0,   43011.497981
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,1,   43089.538593
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,2,   43064.843477
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,3,   43064.710123
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,4,   43063.801586
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,5,   43073.020974
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,6,   43059.584403
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,7,   43057.551227
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,8,   43055.395824
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,9,   43067.817545
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,10,   43060.567061
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,11,   43062.348569
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,12,   43052.937830
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,13,   43059.678568
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,14,   43058.955734
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,15,   43057.587406
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,16,   43064.453966
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,17,   43061.752921
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,18,   43058.274255
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,19,   43065.296679
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,20,   43056.967721
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,21,   43056.248705
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,22,   43052.037083
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,23,   43059.866104
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,24,   43057.140129
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,25,   43063.778088
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,26,   43061.331593
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,27,   43057.839257
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,28,   43057.613040
3,double,uniform,PoisFFT,"N | N | N | N | N | N",1,512,29,   43065.930226
