dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,0,     890.456872
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,1,     888.198586
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,2,     889.726807
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,3,     886.989151
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,4,     887.590113
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,5,     888.079721
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,6,     886.402498
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,7,     887.709780
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,8,     887.299165
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,9,     887.831347
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,10,     887.966942
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,11,     886.144804
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,12,     887.164657
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,13,     886.585143
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,14,     886.799273
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,15,     886.638178
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,16,     887.267280
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,17,     888.072904
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,18,     888.337700
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,19,     887.750144
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,20,     887.349865
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,21,     887.688742
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,22,     888.278775
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,23,     887.135129
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,24,     886.687218
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,25,     885.519937
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,26,     887.712112
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,27,     886.077824
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,28,     887.133707
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,512,29,     889.184981
