dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,0,    2044.674471
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,1,    2046.251575
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,2,    2050.046490
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,3,    2048.560763
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,4,    2048.115864
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,5,    2048.073325
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,6,    2045.144218
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,7,    2044.936178
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,8,    2043.220505
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,9,    2042.964185
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,10,    2043.493719
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,11,    2048.595748
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,12,    2048.718888
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,13,    2048.719124
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,14,    2048.661244
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,15,    2045.213242
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,16,    2047.037965
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,17,    2044.074289
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,18,    2045.492113
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,19,    2043.660616
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,20,    2046.383539
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,21,    2042.795239
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,22,    2043.495442
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,23,    2044.256071
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,24,    2044.998651
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,25,    2046.321116
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,26,    2044.905517
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,27,    2043.425897
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,28,    2045.553858
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,29,    2043.749381
