dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,0,    7707.177763
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,1,    7539.624986
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,2,    7545.163210
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,3,    7439.199482
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,4,    7537.335393
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,5,    7509.502536
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,6,    7491.689490
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,7,    7469.258238
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,8,    7521.061013
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,9,    7552.501629
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,10,    7547.937216
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,11,    7510.965825
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,12,    7534.893967
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,13,    7482.836262
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,14,    7520.887546
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,15,    7511.405498
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,16,    7560.152094
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,17,    7496.784476
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,18,    7540.460433
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,19,    7526.351758
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,20,    7525.598993
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,21,    7521.580284
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,22,    7548.553384
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,23,    7464.698115
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,24,    7514.425668
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,25,    7543.819619
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,26,    7562.226888
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,27,    7482.781447
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,28,    7515.165812
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,512,29,    7518.946237
