dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,0,    6314.884320
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,1,    6042.892596
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,2,    6171.733876
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,3,    6060.880867
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,4,    6152.108344
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,5,    6053.694252
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,6,    6060.992407
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,7,    6043.001691
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,8,    6037.776208
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,9,    6040.543676
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,10,    6060.370352
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,11,    6049.772494
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,12,    6136.812625
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,13,    6138.786854
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,14,    6033.493799
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,15,    6041.669868
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,16,    6051.761667
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,17,    6059.899362
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,18,    6039.975635
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,19,    6081.186929
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,20,    6067.864679
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,21,    6059.748578
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,22,    6049.264184
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,23,    6036.959465
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,24,    6043.604967
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,25,    6060.045597
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,26,    6050.013367
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,27,    6044.905979
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,28,    6183.107445
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,512,29,    6164.484999
