dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,0,   11567.877030
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,1,   11570.205716
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,2,   11572.955771
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,3,   11562.380607
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,4,   11564.673569
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,5,   11565.550852
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,6,   11568.688867
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,7,   11558.074764
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,8,   11573.958243
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,9,   11575.494429
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,10,   11555.337233
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,11,   11558.784616
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,12,   11563.565317
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,13,   11563.072032
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,14,   11555.734289
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,15,   11553.350906
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,16,   11551.747898
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,17,   11565.586151
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,18,   11565.254800
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,19,   11588.673933
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,20,   11565.134828
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,21,   11557.325627
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,22,   11558.157328
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,23,   11553.014496
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,24,   11553.289290
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,25,   11560.785667
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,26,   11561.651913
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,27,   11556.852644
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,28,   11555.765042
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,512,29,   11551.472569
