dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,0,    6310.678847
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,1,    6040.311794
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,2,    6170.820964
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,3,    6184.453182
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,4,    6167.319220
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,5,    6159.231821
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,6,    6164.198548
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,7,    6171.901626
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,8,    6159.312631
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,9,    6176.579615
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,10,    6168.035455
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,11,    6171.544828
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,12,    6200.113479
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,13,    6223.020362
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,14,    6172.367973
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,15,    6166.576493
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,16,    6173.306235
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,17,    6142.950248
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,18,    6163.346581
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,19,    6163.246584
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,20,    6175.430409
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,21,    6167.766299
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,22,    6166.174564
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,23,    6147.104046
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,24,    6146.638611
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,25,    6232.222281
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,26,    6194.669107
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,27,    6151.285391
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,28,    6181.109364
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,29,    6151.859912
