dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,0,    6264.206047
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,1,    6185.140207
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,2,    6161.418512
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,3,    6159.275394
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,4,    6131.881126
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,5,    6134.288037
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,6,    6134.579539
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,7,    6132.887515
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,8,    6132.428155
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,9,    6136.482884
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,10,    6135.999767
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,11,    6135.133143
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,12,    6130.091148
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,13,    6201.507666
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,14,    6185.975290
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,15,    6143.486884
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,16,    6144.881734
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,17,    6136.947345
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,18,    6134.670923
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,19,    6136.326489
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,20,    6133.886056
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,21,    6138.431033
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,22,    6132.588476
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,23,    6131.522057
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,24,    6132.714068
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,25,    6127.447578
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,26,    6126.825384
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,27,    6126.435814
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,28,    6124.321142
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,29,    6127.229030
