dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,0,    3588.697111
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,1,    3495.994216
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,2,    3494.349839
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,3,    3488.172107
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,4,    3493.906646
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,5,    3488.795487
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,6,    3479.554232
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,7,    3483.795068
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,8,    3482.806987
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,9,    3481.253131
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,10,    3483.944312
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,11,    3483.518468
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,12,    3484.768167
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,13,    3490.090245
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,14,    3496.503831
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,15,    3493.693110
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,16,    3492.314648
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,17,    3487.825240
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,18,    3481.963704
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,19,    3487.156215
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,20,    3489.285440
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,21,    3484.103903
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,22,    3527.960999
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,23,    3504.102953
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,24,    3489.463881
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,25,    3491.733502
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,26,    3489.371581
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,27,    3493.122965
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,28,    3498.036898
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,29,    3495.617116
