dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,0,   19173.358399
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,1,   19176.119843
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,2,   19179.031721
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,3,   19175.957534
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,4,   19179.594416
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,5,   19174.808144
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,6,   19171.017654
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,7,   19179.996711
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,8,   19175.142928
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,9,   19175.978079
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,10,   19181.947670
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,11,   19170.432166
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,12,   19172.029706
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,13,   19176.185248
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,14,   19176.629471
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,15,   19179.164563
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,16,   19176.464310
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,17,   19169.144337
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,18,   19180.175885
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,19,   19183.168119
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,20,   19173.027385
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,21,   19176.658881
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,22,   19176.899584
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,23,   19175.369278
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,24,   19176.032181
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,25,   19177.108555
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,26,   19175.726538
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,27,   19168.873780
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,28,   19175.365589
3,double,uniform,PoisFFT,"P | P | P | P | P | P",1,512,29,   19179.821589
