dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,0,    1883.209344
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,1,    1883.905698
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,2,    1884.714799
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,3,    1882.621405
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,4,    1882.813088
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,5,    1882.796751
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,6,    1879.718137
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,7,    1881.504766
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,8,    1881.299412
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,9,    1880.500370
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,10,    1880.788237
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,11,    1879.091493
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,12,    1881.962344
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,13,    1880.012273
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,14,    1880.669264
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,15,    1880.537985
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,16,    1881.240241
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,17,    1881.952218
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,18,    1885.304908
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,19,    1884.659372
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,20,    1880.877643
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,21,    1882.991855
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,22,    1880.746127
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,23,    1884.991189
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,24,    1882.642690
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,25,    1880.606981
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,26,    1881.307610
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,27,    1881.222301
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,28,    1884.199914
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,512,29,    1882.315504
