dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,0,    3830.988132
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,1,    3617.021078
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,2,    3612.290866
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,3,    3620.416010
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,4,    3609.607556
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,5,    3596.769408
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,6,    3602.001907
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,7,    3599.180635
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,8,    3602.013645
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,9,    3605.811863
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,10,    3598.439070
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,11,    3601.621096
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,12,    3598.647261
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,13,    3593.985707
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,14,    3605.980022
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,15,    3597.455105
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,16,    3600.108219
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,17,    3605.780815
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,18,    3597.697800
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,19,    3597.076057
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,20,    3594.850259
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,21,    3594.443551
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,22,    3598.128268
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,23,    3597.920505
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,24,    3603.124468
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,25,    3598.931393
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,26,    3597.631870
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,27,    3597.627742
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,28,    3595.996443
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,29,    3604.583731
