dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,0,    5606.501120
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,1,    5666.845639
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,2,    5627.769838
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,3,    5686.506209
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,4,    5619.947061
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,5,    5709.071361
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,6,    5633.985803
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,7,    5684.733070
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,8,    5626.902596
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,9,    5684.465965
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,10,    5596.809535
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,11,    5641.062324
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,12,    5540.214306
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,13,    5822.521973
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,14,    5601.225584
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,15,    5686.930110
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,16,    5588.813370
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,17,    5733.791119
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,18,    5721.536140
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,19,    5671.803587
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,20,    5702.390119
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,21,    5632.711920
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,22,    5600.314455
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,23,    5705.664785
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,24,    5646.962868
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,25,    5667.017510
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,26,    5642.190981
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,27,    5725.361999
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,28,    5619.211807
3,float,uniform,PoisFFT,"D | D | D | D | D | D",6,512,29,    5579.420003
