dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,0,    7479.938259
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,1,    7485.257068
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,2,    7479.709014
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,3,    7473.852001
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,4,    7485.298252
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,5,    7480.867762
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,6,    7477.663785
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,7,    7483.729243
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,8,    7486.462617
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,9,    7482.301237
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,10,    7482.139831
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,11,    7481.301649
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,12,    7474.618861
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,13,    7481.741260
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,14,    7480.753075
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,15,    7481.939791
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,16,    7486.235730
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,17,    7481.851235
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,18,    7478.246088
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,19,    7482.113982
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,20,    7484.425556
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,21,    7484.401033
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,22,    7475.461700
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,23,    7483.849123
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,24,    7660.789626
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,25,    7485.831166
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,26,    7487.284846
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,27,    7481.833890
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,28,    7479.860880
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,29,    7482.773663
