dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,0,     785.841921
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,1,     796.391788
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,2,     781.974954
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,3,     788.745804
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,4,     799.716957
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,5,     786.414507
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,6,     780.601342
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,7,     791.740836
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,8,     784.527496
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,9,     783.127842
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,10,     780.351924
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,11,     794.567698
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,12,     779.047774
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,13,     790.991023
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,14,     786.478653
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,15,     791.194149
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,16,     788.151831
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,17,     781.233155
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,18,     785.496736
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,19,     789.616732
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,20,     790.739928
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,21,     782.980641
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,22,     782.884608
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,23,     801.832798
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,24,     790.619151
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,25,     793.506576
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,26,     771.041821
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,27,     798.353886
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,28,     788.515291
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,29,     787.823160
