dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,0,     778.065294
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,1,     770.619375
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,2,     771.647990
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,3,     781.950124
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,4,     776.278287
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,5,     761.204459
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,6,     771.772091
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,7,     768.097768
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,8,     764.104776
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,9,     770.385959
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,10,     768.075959
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,11,     769.012087
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,12,     774.940348
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,13,     768.736121
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,14,     781.756183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,15,     786.282189
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,16,     772.836881
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,17,     772.505685
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,18,     772.293404
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,19,     769.493782
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,20,     773.337825
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,21,     726.405710
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,22,     723.656915
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,23,     741.197169
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,24,     759.116866
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,25,     718.443920
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,26,     720.357956
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,27,     723.585647
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,28,     725.916397
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,29,     737.158163
