dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,0,    3568.595504
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,1,    3574.013034
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,2,    3577.640871
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,3,    3580.616665
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,4,    3577.004549
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,5,    3571.088598
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,6,    3572.819568
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,7,    3571.635602
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,8,    3571.148815
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,9,    3570.565075
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,10,    3572.119336
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,11,    3571.147450
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,12,    3571.162726
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,13,    3571.228994
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,14,    3571.539380
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,15,    3570.734373
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,16,    3580.394922
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,17,    3570.835937
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,18,    3570.589394
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,19,    3571.856425
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,20,    3568.661675
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,21,    3571.189812
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,22,    3570.259027
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,23,    3570.849556
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,24,    3574.644903
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,25,    3570.231664
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,26,    3571.112554
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,27,    3574.569967
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,28,    3572.253519
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,29,    3570.551813
