dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,0,     794.969908
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,1,     760.835622
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,2,     753.697453
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,3,     766.469518
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,4,     770.103176
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,5,     756.883394
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,6,     788.516672
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,7,     794.913852
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,8,     798.091095
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,9,     824.786526
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,10,     807.530257
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,11,     810.440523
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,12,     785.508142
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,13,     805.747777
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,14,     796.261423
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,15,     836.329874
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,16,     804.567987
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,17,     808.855421
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,18,     814.350417
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,19,     805.620467
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,20,     809.051750
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,21,     799.192212
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,22,     801.478731
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,23,     809.007031
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,24,     810.555726
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,25,     805.547181
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,26,     766.831038
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,27,     767.263522
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,28,     762.269719
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,512,29,     774.950396
