dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,0,    3761.826342
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,1,    3747.155351
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,2,    3748.511263
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,3,    3746.880739
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,4,    3748.365024
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,5,    3745.687369
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,6,    3753.536814
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,7,    3745.675282
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,8,    3745.863764
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,9,    3745.210609
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,10,    3746.195481
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,11,    3745.335570
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,12,    3745.354755
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,13,    3746.309099
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,14,    3746.236139
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,15,    3744.716790
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,16,    3744.971878
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,17,    3744.218623
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,18,    3744.350990
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,19,    3744.783710
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,20,    3744.931336
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,21,    3744.915203
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,22,    3745.987362
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,23,    3745.506460
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,24,    3744.823799
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,25,    3744.749191
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,26,    3745.538080
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,27,    3746.141729
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,28,    3744.841294
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,29,    3750.002542
