dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,0,    4189.132091
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,1,    4139.975787
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,2,    4136.094277
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,3,    4125.956793
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,4,    4139.294362
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,5,    4136.800139
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,6,    4128.662963
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,7,    4128.855038
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,8,    4131.206125
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,9,    4114.713051
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,10,    4120.686535
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,11,    4121.741390
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,12,    4110.785493
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,13,    4111.376342
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,14,    4126.864362
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,15,    4125.729245
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,16,    4115.004683
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,17,    4122.011610
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,18,    4128.304404
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,19,    4138.367250
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,20,    4121.464296
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,21,    4122.203738
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,22,    4129.255434
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,23,    4126.277767
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,24,    4125.084290
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,25,    4128.367129
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,26,    4132.024668
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,27,    4122.433298
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,28,    4131.355186
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,29,    4124.786690
