dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,0,   15557.551288
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,1,   15522.476079
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,2,   15516.155226
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,3,   15498.881606
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,4,   15471.210570
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,5,   15467.646604
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,6,   15470.985559
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,7,   15473.197416
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,8,   15469.078141
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,9,   15462.845052
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,10,   15451.690571
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,11,   15464.618864
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,12,   15467.370940
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,13,   15446.377542
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,14,   15443.945781
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,15,   15443.577301
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,16,   15438.620641
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,17,   15441.263682
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,18,   15444.796018
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,19,   15443.965880
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,20,   15441.228409
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,21,   15450.674641
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,22,   15441.339152
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,23,   15439.913557
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,24,   15442.981609
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,25,   15453.492283
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,26,   15444.236988
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,27,   15443.749847
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,28,   15441.410513
3,float,uniform,PoisFFT,"N | N | N | N | N | N",4,512,29,   15449.826020
