dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,0,     496.283943
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,1,     469.920711
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,2,     469.240159
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,3,     472.393002
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,4,     467.530587
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,5,     472.062531
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,6,     459.916558
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,7,     470.702409
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,8,     465.240495
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,9,     472.998465
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,10,     465.292146
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,11,     471.241646
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,12,     469.511190
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,13,     471.235658
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,14,     468.088720
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,15,     466.638474
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,16,     472.503153
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,17,     471.464962
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,18,     467.494892
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,19,     470.649335
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,20,     466.186036
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,21,     469.856123
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,22,     468.765242
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,23,     466.658395
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,24,     465.773296
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,25,     463.316566
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,26,     472.291033
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,27,     469.402940
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,28,     468.907675
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,512,29,     471.781798
