dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,0,    4708.647965
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,1,    4573.088933
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,2,    4577.700498
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,3,    4695.188941
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,4,    4572.460685
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,5,    4577.190669
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,6,    4571.720200
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,7,    4575.066944
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,8,    4589.096622
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,9,    4565.737180
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,10,    4567.703413
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,11,    4568.098208
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,12,    4570.596562
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,13,    4573.465094
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,14,    4578.892510
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,15,    4573.877409
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,16,    4589.786691
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,17,    4566.908761
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,18,    4571.516222
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,19,    4570.393830
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,20,    4576.930805
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,21,    4572.185330
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,22,    4569.238670
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,23,    4573.769277
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,24,    4576.905393
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,25,    4566.350501
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,26,    4572.541506
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,27,    4569.720895
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,28,    4567.227080
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,512,29,    4572.441801
