dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,0,     779.856403
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,1,     779.177515
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,2,     685.136101
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,3,     671.747716
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,4,     694.155051
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,5,     678.511104
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,6,     625.088395
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,7,     693.887283
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,8,     678.600816
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,9,     800.399595
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,10,     693.187983
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,11,     692.114419
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,12,     681.905070
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,13,     687.439459
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,14,     686.502010
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,15,     688.832605
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,16,     648.600088
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,17,     708.121385
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,18,     691.651732
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,19,     701.703043
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,20,     772.839908
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,21,     695.729824
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,22,     672.832011
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,23,     683.708458
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,24,     778.783435
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,25,     792.791904
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,26,     786.423745
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,27,     706.606946
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,28,     715.386825
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,29,     780.043832
