dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,0,    9539.281901
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,1,    9545.118729
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,2,    9554.154757
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,3,    9566.377657
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,4,    9559.451051
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,5,    9558.955599
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,6,    9552.999797
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,7,    9544.388044
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,8,    9554.131076
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,9,    9547.047919
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,10,    9550.764232
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,11,    9553.484333
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,12,    9553.559518
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,13,    9560.595098
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,14,    9548.288823
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,15,    9551.080963
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,16,    9550.844409
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,17,    9551.273510
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,18,    9550.632063
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,19,    9544.048927
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,20,    9550.748637
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,21,    9554.208890
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,22,    9546.149820
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,23,    9554.551805
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,24,    9547.392143
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,25,    9546.358031
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,26,    9550.092079
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,27,    9564.205205
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,28,    9546.323300
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,29,    9560.327211
