dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,0,    2254.089458
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,1,    2212.198631
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,2,    2209.963472
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,3,    2215.838091
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,4,    2206.730235
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,5,    2215.990584
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,6,    2202.098462
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,7,    2198.348603
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,8,    2203.924152
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,9,    2200.356728
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,10,    2207.743848
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,11,    2201.674671
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,12,    2207.215418
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,13,    2204.483011
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,14,    2213.157664
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,15,    2195.469268
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,16,    2197.823974
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,17,    2201.986858
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,18,    2206.719894
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,19,    2202.141597
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,20,    2200.172791
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,21,    2198.309366
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,22,    2201.810011
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,23,    2195.891432
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,24,    2205.989105
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,25,    2196.367945
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,26,    2195.834390
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,27,    2203.774673
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,28,    2201.524315
3,float,uniform,PoisFFT,"P | P | P | P | N | D",6,512,29,    2202.495403
