dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,0,    2274.374797
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,1,    2240.738128
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,2,    2239.474733
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,3,    2236.712380
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,4,    2233.281336
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,5,    2242.423546
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,6,    2232.073808
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,7,    2252.224123
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,8,    2239.002973
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,9,    2234.082729
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,10,    2239.952074
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,11,    2235.604752
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,12,    2233.336802
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,13,    2243.442977
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,14,    2233.594694
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,15,    2234.492973
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,16,    2244.282194
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,17,    2240.101510
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,18,    2237.487782
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,19,    2244.567763
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,20,    2237.894075
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,21,    2234.805286
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,22,    2229.485875
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,23,    2237.309017
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,24,    2234.358577
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,25,    2238.358658
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,26,    2237.924888
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,27,    2237.285990
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,28,    2237.516458
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,512,29,    2232.064133
