dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,0,    4930.320276
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,1,    5080.645877
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,2,    5125.681963
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,3,    5066.524232
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,4,    4969.719453
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,5,    4989.665647
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,6,    4995.959255
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,7,    4874.167611
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,8,    4997.379824
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,9,    5062.649197
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,10,    5089.863440
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,11,    5100.404986
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,12,    5097.781916
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,13,    5117.103416
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,14,    5121.226585
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,15,    5117.625413
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,16,    5124.385741
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,17,    5126.460290
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,18,    5130.164080
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,19,    5116.063365
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,20,    5116.645979
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,21,    5120.386716
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,22,    5121.802777
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,23,    5049.066296
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,24,    5105.658908
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,25,    5104.054419
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,26,    5122.777714
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,27,    5123.096646
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,28,    5115.202963
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,512,29,    5125.426005
