dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,0,      98.654689
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,1,      91.858358
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,2,      91.868403
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,3,      91.854410
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,4,      95.984952
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,5,      93.490699
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,6,      91.742340
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,7,      91.745683
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,8,      91.742212
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,9,      92.096887
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,10,      92.261515
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,11,      92.220499
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,12,      91.908525
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,13,      92.080342
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,14,      91.793296
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,15,      91.818551
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,16,      92.079977
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,17,      92.091546
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,18,      92.126362
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,19,      92.054878
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,20,      92.184842
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,21,      92.004091
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,22,      92.094612
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,23,      92.183010
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,24,      96.695045
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,25,      94.490187
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,26,      92.176654
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,27,      92.355791
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,28,      91.671371
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,29,      92.188626
