dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,0,    3547.327325
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,1,    3530.601143
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,2,    3492.942801
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,3,    3491.914753
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,4,    3479.033063
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,5,    3473.836761
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,6,    3470.914524
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,7,    3473.871252
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,8,    3470.594381
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,9,    3473.873576
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,10,    3467.951827
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,11,    3468.695983
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,12,    3472.389807
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,13,    3469.795514
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,14,    3471.665652
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,15,    3465.279365
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,16,    3461.974330
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,17,    3465.691400
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,18,    3464.954736
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,19,    3465.989403
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,20,    3464.305833
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,21,    3466.750200
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,22,    3469.595290
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,23,    3467.711399
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,24,    3467.061012
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,25,    3468.830764
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,26,    3468.020144
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,27,    3470.278590
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,28,    3469.235432
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,406,29,    3471.075428
