dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,0,     593.162632
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,1,     621.344499
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,2,     611.605095
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,3,     618.354011
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,4,     623.618300
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,5,     646.168153
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,6,     630.227325
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,7,     635.287087
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,8,     639.495010
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,9,     633.778944
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,10,     637.929601
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,11,     642.914188
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,12,     656.814304
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,13,     647.027845
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,14,     649.649179
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,15,     631.811146
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,16,     654.699975
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,17,     638.114200
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,18,     649.660023
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,19,     663.708205
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,20,     653.009355
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,21,     700.637798
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,22,     660.587194
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,23,     653.032398
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,24,     659.988676
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,25,     667.254516
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,26,     649.005239
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,27,     658.403964
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,28,     660.561757
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,369,29,     645.096804
