dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,0,     389.419036
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,1,     386.830600
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,2,     387.117160
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,3,     386.775008
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,4,     386.674714
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,5,     386.781520
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,6,     386.705319
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,7,     386.804553
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,8,     386.793832
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,9,     387.698950
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,10,     386.749161
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,11,     386.849605
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,12,     386.586806
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,13,     386.487096
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,14,     386.989329
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,15,     386.910385
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,16,     386.749592
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,17,     386.815679
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,18,     386.645885
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,19,     386.947270
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,20,     386.541218
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,21,     386.459065
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,22,     387.971493
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,23,     386.855218
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,24,     386.983522
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,25,     386.825621
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,26,     386.797469
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,27,     386.529157
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,28,     386.699808
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,256,29,     386.980776
