dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,0,    9702.032005
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,1,    9713.616540
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,2,    9710.857564
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,3,    9712.415677
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,4,    9711.246872
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,5,    9711.712415
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,6,    9712.038296
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,7,    9710.849695
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,8,    9710.429378
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,9,    9709.474121
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,10,    9711.975553
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,11,    9710.388984
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,12,    9712.835732
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,13,    9714.733237
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,14,    9712.378847
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,15,    9714.349858
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,16,    9712.883654
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,17,    9713.712187
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,18,    9713.591341
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,19,    9712.170418
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,20,    9713.227029
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,21,    9712.448361
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,22,    9712.019935
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,23,    9712.179338
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,24,    9713.426651
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,25,    9712.355819
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,26,    9711.822348
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,27,    9711.356348
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,28,    9712.098749
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,465,29,    9712.790417
