dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,0,    2669.288373
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,1,    2706.955721
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,2,    2706.345151
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,3,    2707.081257
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,4,    2705.937379
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,5,    2706.182822
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,6,    2700.483602
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,7,    2699.133436
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,8,    2700.404702
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,9,    2700.201217
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,10,    2701.326059
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,11,    2698.780911
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,12,    2697.680744
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,13,    2698.184001
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,14,    2699.790898
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,15,    2700.913954
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,16,    2700.538906
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,17,    2698.619884
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,18,    2699.692985
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,19,    2698.828822
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,20,    2697.843500
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,21,    2698.092896
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,22,    2699.158760
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,23,    2697.223098
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,24,    2697.550877
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,25,    2698.835081
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,26,    2700.145407
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,27,    2699.541775
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,28,    2701.820537
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,29,    2698.995756
