dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,0,    2990.428980
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,1,    3002.813781
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,2,    3004.507613
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,3,    3001.593571
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,4,    2999.224267
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,5,    3004.780063
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,6,    2999.647968
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,7,    3001.195467
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,8,    3001.767699
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,9,    3002.617571
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,10,    3003.693092
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,11,    3003.686371
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,12,    3000.949435
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,13,    3003.509557
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,14,    3001.330273
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,15,    3000.666055
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,16,    3000.026323
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,17,    2997.611879
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,18,    2998.600837
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,19,    3000.086606
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,20,    3000.437119
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,21,    3001.610227
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,22,    3001.623204
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,23,    2999.908382
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,24,    3003.062872
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,25,    3003.048207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,26,    3001.900528
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,27,    2998.551536
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,28,    2999.984327
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",4,406,29,    3003.751628
