dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,0,     442.228218
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,1,     449.728200
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,2,     448.192851
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,3,     444.823393
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,4,     434.929312
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,5,     435.136401
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,6,     440.840970
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,7,     442.814220
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,8,     443.182579
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,9,     436.058220
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,10,     439.016476
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,11,     437.367933
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,12,     445.262818
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,13,     438.602177
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,14,     439.151684
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,15,     437.028185
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,16,     430.797000
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,17,     444.001022
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,18,     435.011455
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,19,     437.330873
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,20,     438.674196
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,21,     436.570475
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,22,     448.968756
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,23,     442.059583
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,24,     435.664084
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,25,     439.324081
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,26,     429.739552
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,27,     443.922071
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,28,     424.382044
3,double,uniform,PoisFFT,"N | N | N | N | N | N",48,323,29,     444.839053
