dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,0,      95.468030
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,1,      93.953320
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,2,      97.056873
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,3,      94.636858
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,4,      93.726753
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,5,      94.006802
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,6,      94.176158
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,7,      94.019896
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,8,      94.334377
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,9,      94.908812
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,10,      93.839621
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,11,      94.156726
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,12,      93.860351
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,13,      93.774321
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,14,      94.166352
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,15,      94.301419
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,16,      94.328647
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,17,      94.219287
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,18,      93.862187
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,19,      94.438707
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,20,      94.032516
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,21,      94.134067
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,22,      95.591467
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,23,      94.129490
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,24,      94.454462
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,25,      94.095016
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,26,      94.527873
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,27,      94.045255
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,28,      94.241431
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,29,      94.550848
