dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,0,      97.447227
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,1,      93.371573
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,2,      93.079077
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,3,      93.144830
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,4,      93.386779
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,5,      98.892199
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,6,      93.328473
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,7,      93.154454
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,8,      93.165170
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,9,      92.999712
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,10,      93.365784
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,11,      93.188052
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,12,      93.034899
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,13,      93.328638
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,14,      93.650758
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,15,      93.457085
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,16,      93.321459
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,17,      93.292639
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,18,      93.103391
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,19,      92.990359
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,20,      93.089306
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,21,      93.359781
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,22,      92.907166
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,23,      93.197184
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,24,      93.622800
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,25,      98.719764
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,26,      93.284356
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,27,      92.966343
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,28,      93.031720
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,203,29,      93.240126
