dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,0,      69.464869
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,1,      65.590839
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,2,      65.503337
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,3,      65.556394
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,4,      65.516761
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,5,      65.619895
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,6,      65.449833
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,7,      65.401975
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,8,      65.641058
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,9,      65.323672
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,10,      65.411871
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,11,      65.381877
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,12,      65.197958
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,13,      65.341674
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,14,      65.464577
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,15,      65.450059
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,16,      65.826168
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,17,      65.876103
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,18,      65.368581
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,19,      65.630641
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,20,      66.739693
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,21,      65.303991
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,22,      65.797672
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,23,      65.110673
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,24,      69.244410
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,25,      65.527661
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,26,      66.609524
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,27,      65.511948
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,28,      65.441382
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,29,      65.926221
