dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,0,    3564.110999
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,1,    3484.795849
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,2,    3488.373877
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,3,    3526.940255
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,4,    3502.973795
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,5,    3483.278593
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,6,    3450.128989
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,7,    3474.810754
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,8,    3474.573710
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,9,    3474.898142
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,10,    3473.736777
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,11,    3473.523087
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,12,    3472.550297
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,13,    3474.356976
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,14,    3473.324281
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,15,    3476.373712
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,16,    3472.998634
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,17,    3475.739346
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,18,    3475.516776
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,19,    3472.168483
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,20,    3475.307657
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,21,    3470.101252
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,22,    3475.262654
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,23,    3474.491581
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,24,    3473.729828
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,25,    3455.647538
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,26,    3474.533363
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,27,    3473.237470
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,28,    3473.474354
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,29,    3474.343188
