dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,0,      97.644794
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,1,      93.899906
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,2,      93.855640
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,3,      93.822403
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,4,      93.760891
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,5,      98.814838
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,6,      93.834596
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,7,      94.094293
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,8,      93.846324
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,9,      94.134089
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,10,      93.857587
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,11,      93.979472
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,12,      93.972657
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,13,      93.865387
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,14,      95.279956
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,15,      93.855203
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,16,      93.642481
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,17,      93.686632
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,18,      93.843484
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,19,      93.931373
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,20,      93.707399
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,21,      93.957030
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,22,      93.606069
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,23,      93.921176
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,24,      96.094268
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,25,      95.298669
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,26,      97.004547
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,27,      94.267874
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,28,      93.927349
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,203,29,      93.777226
