dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,0,    4233.816881
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,1,    3999.357386
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,2,    4089.252998
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,3,    4021.267566
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,4,    4016.498449
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,5,    4000.481584
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,6,    3982.838952
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,7,    3971.117572
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,8,    3966.232702
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,9,    3956.159102
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,10,    3953.556413
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,11,    3947.759238
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,12,    3954.663674
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,13,    3946.888728
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,14,    3938.266811
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,15,    3943.363280
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,16,    3939.356441
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,17,    3942.220562
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,18,    3957.858432
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,19,    3929.353122
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,20,    3943.475006
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,21,    3945.731739
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,22,    3998.158315
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,23,    3945.916555
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,24,    3940.191659
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,25,    3937.781340
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,26,    3937.902705
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,27,    3937.012985
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,28,    3940.477223
3,double,uniform,PoisFFT,"P | P | P | P | N | D",6,465,29,    3935.667345
