dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,0,     576.424648
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,1,     574.488319
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,2,     589.674824
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,3,     589.451391
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,4,     592.179209
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,5,     591.178534
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,6,     589.189324
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,7,     598.230393
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,8,     608.841273
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,9,     593.005065
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,10,     602.630384
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,11,     606.706387
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,12,     598.752425
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,13,     606.121535
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,14,     606.738930
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,15,     605.298627
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,16,     614.047801
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,17,     600.226924
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,18,     591.454567
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,19,     596.844736
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,20,     600.835742
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,21,     607.607139
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,22,     590.936181
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,23,     592.060139
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,24,     592.941938
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,25,     603.843416
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,26,     607.939782
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,27,     601.070015
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,28,     600.022840
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,369,29,     601.288395
