dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,0,     100.475798
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,1,      96.524119
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,2,      96.199524
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,3,      96.283107
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,4,      99.657795
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,5,      98.443836
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,6,      96.346202
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,7,      95.942647
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,8,      96.314290
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,9,      96.144614
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,10,      96.391280
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,11,      96.490399
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,12,      96.365555
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,13,      96.257460
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,14,      96.368861
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,15,      96.411617
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,16,      96.219477
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,17,      96.492578
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,18,      96.395249
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,19,      95.954070
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,20,      96.263289
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,21,      96.204338
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,22,      96.220980
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,23,     100.132217
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,24,      96.396476
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,25,      96.213647
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,26,      96.600762
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,27,      96.200256
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,28,      96.357585
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,29,      96.352360
