dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,0,    3644.662790
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,1,    3516.631074
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,2,    3501.035149
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,3,    3473.683419
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,4,    3493.317801
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,5,    3491.191378
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,6,    3491.841498
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,7,    3479.918047
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,8,    3492.827897
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,9,    3491.044995
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,10,    3492.341300
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,11,    3492.062321
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,12,    3491.140743
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,13,    3489.603495
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,14,    3490.997540
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,15,    3490.826973
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,16,    3490.635655
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,17,    3491.077960
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,18,    3492.926054
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,19,    3489.611570
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,20,    3490.820466
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,21,    3475.615856
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,22,    3491.742159
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,23,    3490.223540
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,24,    3487.371674
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,25,    3490.373082
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,26,    3490.439119
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,27,    3490.977600
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,28,    3488.420721
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,29,    3489.857588
