dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,0,      80.108764
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,1,      76.381717
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,2,      76.604743
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,3,      77.608904
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,4,      75.803879
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,5,      76.044692
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,6,      76.387406
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,7,      76.305373
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,8,      79.754494
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,9,      77.430292
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,10,      75.870662
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,11,      76.014834
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,12,      76.701139
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,13,      76.086415
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,14,      76.230916
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,15,      76.602019
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,16,      75.686808
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,17,      77.141288
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,18,      76.261147
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,19,      76.293468
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,20,      76.895186
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,21,      76.426467
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,22,      76.429856
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,23,      77.206816
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,24,      76.790922
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,25,      76.340422
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,26,      75.606824
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,27,      75.944984
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,28,      76.103456
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,29,      75.825603
