dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,0,     851.852503
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,1,     831.696980
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,2,     850.221963
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,3,     842.785329
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,4,     845.909110
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,5,     835.777432
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,6,     840.701210
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,7,     846.462302
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,8,     842.409449
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,9,     853.651422
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,10,     836.020708
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,11,     857.845424
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,12,     849.194477
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,13,     847.276365
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,14,     842.325442
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,15,     833.864949
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,16,     834.509287
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,17,     837.928009
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,18,     837.845336
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,19,     855.115672
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,20,     841.230744
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,21,     852.622573
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,22,     842.167181
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,23,     833.739992
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,24,     829.420365
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,25,     826.221819
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,26,     852.035418
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,27,     853.304754
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,28,     839.581065
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,323,29,     837.254273
