dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,0,    1598.097171
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,1,    1530.296679
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,2,    1533.598592
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,3,    1529.740007
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,4,    1525.431070
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,5,    1527.636855
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,6,    1523.106519
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,7,    1520.716212
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,8,    1521.156472
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,9,    1522.079635
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,10,    1520.556326
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,11,    1523.928887
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,12,    1519.569803
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,13,    1518.276196
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,14,    1518.974549
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,15,    1517.500256
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,16,    1518.826870
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,17,    1519.099087
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,18,    1518.771323
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,19,    1529.570955
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,20,    1529.173074
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,21,    1524.216502
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,22,    1519.458886
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,23,    1519.569352
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,24,    1529.456985
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,25,    1520.178457
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,26,    1521.120441
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,27,    1518.724666
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,28,    1527.253066
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,29,    1520.606306
