dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,0,    1642.233372
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,1,    1643.161503
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,2,    1647.458081
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,3,    1650.192002
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,4,    1643.449436
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,5,    1643.440189
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,6,    1646.262784
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,7,    1652.130488
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,8,    1650.176256
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,9,    1652.153294
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,10,    1653.424525
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,11,    1652.732707
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,12,    1653.677747
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,13,    1650.984603
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,14,    1652.741723
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,15,    1650.059139
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,16,    1651.729990
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,17,    1652.013513
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,18,    1655.287623
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,19,    1650.786336
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,20,    1650.213027
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,21,    1653.279016
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,22,    1650.911229
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,23,    1644.039939
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,24,    1639.079822
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,25,    1641.153586
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,26,    1644.902506
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,27,    1654.895427
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,28,    1651.024136
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,323,29,    1651.738783
