dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,0,     427.442078
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,1,     423.929386
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,2,     424.758517
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,3,     423.949834
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,4,     427.730436
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,5,     426.875512
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,6,     423.961344
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,7,     423.283507
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,8,     425.497614
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,9,     424.540984
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,10,     426.739920
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,11,     426.478032
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,12,     423.392727
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,13,     425.480841
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,14,     424.552290
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,15,     423.528985
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,16,     424.640941
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,17,     425.201596
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,18,     424.885105
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,19,     424.416145
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,20,     421.722276
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,21,     422.478132
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,22,     423.270161
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,23,     422.582104
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,24,     422.357833
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,25,     422.436724
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,26,     423.227367
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,27,     421.791701
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,28,     425.238306
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,369,29,     424.209441
