dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,0,     892.090822
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,1,     890.970235
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,2,     891.727523
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,3,     893.028179
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,4,     892.698915
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,5,     893.073596
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,6,     891.674326
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,7,     892.608101
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,8,     892.803858
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,9,     892.750603
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,10,     891.673510
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,11,     892.206652
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,12,     891.857057
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,13,     891.374636
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,14,     890.866065
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,15,     891.265536
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,16,     892.120098
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,17,     891.425817
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,18,     892.067904
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,19,     892.076028
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,20,     893.365210
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,21,     891.646204
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,22,     891.586743
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,23,     891.473578
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,24,     892.104618
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,25,     891.732006
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,26,     892.076191
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,27,     891.527025
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,28,     892.927888
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,29,     891.240096
