dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,0,    1792.981739
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,1,    1756.528651
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,2,    1743.649784
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,3,    1751.102422
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,4,    1744.219753
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,5,    1748.287480
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,6,    1747.949243
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,7,    1747.824932
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,8,    1739.980227
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,9,    1738.486860
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,10,    1747.457108
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,11,    1747.719240
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,12,    1753.620078
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,13,    1741.210066
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,14,    1747.442159
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,15,    1755.887156
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,16,    1752.093970
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,17,    1753.336360
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,18,    1745.367176
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,19,    1742.243509
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,20,    1754.857031
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,21,    1743.479778
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,22,    1749.814075
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,23,    1742.142425
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,24,    1798.254629
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,25,    1744.521596
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,26,    1741.745772
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,27,    1740.935781
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,28,    1753.476347
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,29,    1749.999153
